#time  flux    error
54953.5388437     1.00932029328     3.8e-05
54953.5592783     1.00699464092     3.8e-05
54953.5797128     1.00604838476     3.8e-05
54953.6001475     1.00442831627     3.8e-05
54953.6205821     1.00212620749     3.8e-05
54953.6410166     1.00183719161     3.8e-05
54953.6614512     0.998924129833     3.8e-05
54953.6818859     0.998104487694     3.8e-05
54953.7023204     0.996891279049     3.8e-05
54953.722755     0.99511892119     3.8e-05
54953.7431897     0.99330723202     3.8e-05
54953.7636242     0.986624689978     3.7e-05
54953.7840588     0.962181788241     3.7e-05
54953.8044934     0.929660070378     3.7e-05
54953.824928     0.893423969059     3.7e-05
54953.8453626     0.85765728353     3.7e-05
54953.8657972     0.830470597392     3.7e-05
54953.8862319     0.812462170853     3.7e-05
54953.9066664     0.809162858024     3.7e-05
54953.927101     0.821037627788     3.7e-05
54953.9475357     0.844316887869     3.7e-05
54953.9679702     0.877090339685     3.7e-05
54953.9884048     0.913357014462     3.7e-05
54954.0088393     0.947273914337     3.7e-05
54954.029274     0.974831582617     3.7e-05
54954.0497086     0.989244449781     3.7e-05
54954.0701432     0.990476990896     3.7e-05
54954.0905778     0.992459295278     3.7e-05
54954.1110124     0.992856651505     3.7e-05
54954.131447     0.994877964841     3.7e-05
54954.1518815     0.995941999231     3.7e-05
54954.1723162     0.997603696489     3.7e-05
54954.1927508     0.999882264113     3.7e-05
54954.2131853     1.00059920765     3.7e-05
54954.23362     1.00322208588     3.7e-05
54954.2540546     1.00402661661     3.7e-05
54954.2744891     1.00682613385     3.7e-05
54954.2949237     1.00738900705     3.7e-05
54954.3153584     1.01024224096     3.8e-05
54954.335793     1.010379084     3.8e-05
54954.3562275     1.01246783028     3.8e-05
54954.3766622     1.01401271497     3.8e-05
54954.3970968     1.01430162976     3.8e-05
54954.4175313     1.01672883794     3.8e-05
54954.4379659     1.01576033972     3.8e-05
54954.4584006     1.01790331014     3.8e-05
54954.4788351     1.01743957611     3.8e-05
54954.4992697     1.01797843399     3.8e-05
54954.5197043     1.01834515203     3.8e-05
54954.540139     1.01730205908     3.8e-05
54954.5605736     1.01696592716     3.8e-05
54954.5810081     1.01671484418     3.8e-05
54954.6014428     1.0149857589     3.7e-05
54954.6218774     1.01492090189     3.7e-05
54954.6423119     1.0121772672     3.7e-05
54954.6627465     1.01174592747     3.7e-05
54954.6831812     1.0101502889     3.7e-05
54954.7036157     1.00746395862     3.7e-05
54954.7240503     1.00737680265     3.7e-05
54954.744485     1.00412766782     3.7e-05
54954.7649195     1.00296772462     3.7e-05
54954.7853541     1.00088546804     3.7e-05
54954.8057887     0.998674410778     3.7e-05
54954.8262233     0.996833679449     3.7e-05
54954.8466579     0.995680407991     3.6e-05
54954.8670925     0.992743083562     3.6e-05
54954.8875271     0.992526936556     3.6e-05
54954.9079617     0.990468777074     3.6e-05
54954.9283963     0.988126931415     3.6e-05
54954.9488308     0.983032566147     3.6e-05
54954.9692655     0.961385610274     3.6e-05
54954.9897001     0.933484993133     3.6e-05
54955.0101346     0.902936317329     3.6e-05
54955.0305693     0.871106318148     3.6e-05
54955.0510039     0.845968853784     3.6e-05
54955.0714385     0.830513113874     3.6e-05
54955.091873     0.826165006373     3.6e-05
54955.1123077     0.835410883995     3.6e-05
54955.1327423     0.858174759785     3.6e-05
54955.1531768     0.885326546776     3.6e-05
54955.1736115     0.918097476397     3.6e-05
54955.1940461     0.94833781497     3.6e-05
54955.2144806     0.972412706737     3.6e-05
54955.2349152     0.986817505388     3.7e-05
54955.2553499     0.988404081185     3.7e-05
54955.2757844     0.990158123309     3.7e-05
54955.296219     0.99092166772     3.7e-05
54955.3166537     0.992152185918     3.7e-05
54955.3370882     0.993671749153     3.7e-05
54955.3575228     0.995146497582     3.7e-05
54955.3779574     0.996269890195     3.7e-05
54955.3983921     0.99807842286     3.7e-05
54955.4188266     0.999249215473     3.7e-05
54955.4392612     1.00035557076     3.7e-05
54955.4596959     1.00224003925     3.7e-05
54955.4801304     1.00351757218     3.7e-05
54955.500565     1.00405662885     3.7e-05
54955.5209995     1.00653263259     3.7e-05
54955.5414342     1.00683151697     3.7e-05
54955.5618688     1.00775769219     3.7e-05
54955.5823034     1.00950384253     3.7e-05
54955.602738     1.00903677953     3.7e-05
54955.6231726     1.01103441619     3.7e-05
54955.6436072     1.01113805033     3.7e-05
54955.6640417     1.01131244298     3.7e-05
54955.6844764     1.01138955013     3.7e-05
54955.704911     1.01297522093     3.7e-05
54955.7253455     1.01143925568     3.7e-05
54955.7457802     1.01214980749     3.7e-05
54955.7662148     1.01232190107     3.7e-05
54955.7866493     1.01087350019     3.7e-05
54955.8070839     1.01150845679     3.7e-05
54955.8275186     1.01018733727     3.7e-05
54955.8479532     1.01003877217     3.7e-05
54955.8683878     1.00865693902     3.7e-05
54955.8888224     1.00831134594     3.7e-05
54955.909257     1.00712014647     3.7e-05
54955.9296916     1.00554313579     3.7e-05
54955.9501261     1.00516261051     3.7e-05
54955.9705608     1.00325856948     3.7e-05
54955.9909954     1.00202323387     3.7e-05
54956.0114299     1.00117443521     3.7e-05
54956.0318646     0.999070630833     3.7e-05
54956.0522992     0.998094398956     3.7e-05
54956.0727338     0.99665758382     3.7e-05
54956.0931683     0.994695561375     3.7e-05
54956.113603     0.993818318384     3.7e-05
54956.1340376     0.991550361327     3.7e-05
54956.1544721     0.991411838686     3.7e-05
54956.1749068     0.988755384475     3.7e-05
54956.1953414     0.988398616599     3.7e-05
54956.2157759     0.986774978894     3.7e-05
