# BJD       v/[km/s]    err/[km/s]
55368.6964     26.45    4.37
55369.6875   -138.28    3.22
55369.7405   -137.22    3.48
55369.7709   -120.84    3.19
55369.8190   -107.08    3.16
55401.8413   -144.06    6.35
55401.9126   -110.21    6.31
55405.7796     25.74    7.11
55431.7139    -65.02    3.88
55432.7500     71.84    3.10
55432.7820     67.42    3.18
55432.8480     58.27    3.62
55432.9085     35.85    3.68
55716.9126     50.85    3.23
55753.8661     70.88    3.58
55815.8161     27.82    3.65
56234.6485    -62.81    3.47
56235.6521     68.45    3.65
56488.6784   -134.76    5.29
