throughput,wavelength
2.03966e-06,500.0
1.369501e-05,500.5
-8.39e-07,501.0
1.006988e-05,501.5
1.58815e-05,502.0
1.878022e-05,502.5
8.64118e-06,503.0
3.614629e-05,503.5
2.14966e-06,504.0
8.66208e-06,504.5
9.39097e-06,505.0
2.959666e-05,505.5
2.093554e-05,506.0
2.525702e-05,506.5
1.085422e-05,507.0
1.157857e-05,507.5
1.373811e-05,508.0
1.877034e-05,508.5
8.71732e-06,509.0
9.4393e-06,509.5
2.235263e-05,510.0
2.378725e-05,510.5
1.804629e-05,511.0
2.878938e-05,511.5
3.307743e-05,512.0
5.8887e-06,512.5
2.090801e-05,513.0
2.591363e-05,513.5
2.876764e-05,514.0
1.304878e-05,514.5
1.519206e-05,515.0
2.233035e-05,515.5
1.234031e-05,516.0
2.94604e-05,516.5
3.444896e-05,517.0
2.730852e-05,517.5
2.16138e-05,518.0
2.161139e-05,518.5
2.873145e-05,519.0
1.519935e-05,519.5
3.300774e-05,520.0
3.798606e-05,520.5
2.944848e-05,521.0
4.226885e-05,521.5
1.591399e-05,522.0
3.157927e-05,522.5
2.089794e-05,523.0
3.585025e-05,523.5
3.087305e-05,524.0
4.084445e-05,524.5
3.371919e-05,525.0
4.726795e-05,525.5
3.515072e-05,526.0
4.228015e-05,526.5
5.084066e-05,527.0
3.445528e-05,527.5
4.586839e-05,528.0
5.302497e-05,528.5
8.155693e-05,529.0
5.518154e-05,529.5
7.949885e-05,530.0
7.810296e-05,530.5
8.314351e-05,531.0
0.00010035492,531.5
0.00011399923,532.0
0.00011982385,532.5
0.00015071834,533.0
0.00014298344,533.5
0.00016892474,534.0
0.00020139355,534.5
0.00022898281,535.0
0.00025804972,535.5
0.00029007696,536.0
0.0003127712,536.5
0.00036960699,537.0
0.00042726781,537.5
0.00048665412,538.0
0.00056586258,538.5
0.00067224726,539.0
0.00076393768,539.5
0.00087936729,540.0
0.0010291069,540.5
0.00120258078,541.0
0.00139557898,541.5
0.00161203221,542.0
0.00188781992,542.5
0.0022050184,543.0
0.00255037785,543.5
0.0029720524,544.0
0.00344852358,544.5
0.00402524889,545.0
0.00468199611,545.5
0.0054288739,546.0
0.00627497912,546.5
0.00726718903,547.0
0.00842700779,547.5
0.00974727988,548.0
0.01123070717,548.5
0.01293524623,549.0
0.0148631382,549.5
0.01706304073,550.0
0.01953624725,550.5
0.02235859156,551.0
0.02546650171,551.5
0.02904413462,552.0
0.03293370724,552.5
0.03738025904,553.0
0.04232913971,553.5
0.04766122818,554.0
0.05355459213,554.5
0.06007618904,555.0
0.06704731464,555.5
0.0748964262,556.0
0.08321007729,556.5
0.09232580185,557.0
0.1022378159,557.5
0.1124153137,558.0
0.123707428,558.5
0.1357418156,559.0
0.1481252289,559.5
