throughput,wavelength
3.205409e-05,450.0
3.869639e-05,450.5
2.82815e-05,451.0
2.529813e-05,451.5
2.675629e-05,452.0
3.188351e-05,452.5
1.717673e-05,453.0
3.035424e-05,453.5
2.302293e-05,454.0
1.864237e-05,454.5
3.173741e-05,455.0
3.244075e-05,455.5
3.313364e-05,456.0
3.600161e-05,456.5
3.813352e-05,457.0
3.089786e-05,457.5
3.44718e-05,458.0
2.941611e-05,458.5
2.867878e-05,459.0
3.368446e-05,459.5
2.721881e-05,460.0
3.648992e-05,460.5
5.18203e-05,461.0
5.597631e-05,461.5
4.303025e-05,462.0
3.617446e-05,462.5
6.034468e-05,463.0
4.367732e-05,463.5
5.79644e-05,464.0
5.865356e-05,464.5
7.889393e-05,465.0
7.204431e-05,465.5
7.196636e-05,466.0
9.358376e-05,466.5
0.00010544402,467.0
0.00012320574,467.5
0.0001312689,468.0
0.00016086843,468.5
0.00017186783,469.0
0.00019606918,469.5
0.00023806777,470.0
0.00026585033,470.5
0.00031421557,471.0
0.00036256794,471.5
0.00043929324,472.0
0.00052636553,472.5
0.00059841137,473.0
0.00071099803,473.5
0.00085742004,474.0
0.00101616859,474.5
0.00122275144,475.0
0.00144862622,475.5
0.00176821649,476.0
0.00215652958,476.5
0.00261935234,477.0
0.00317661643,477.5
0.00386366218,478.0
0.00474767298,478.5
0.00578332484,479.0
0.00710839629,479.5
0.00872553587,480.0
0.01064752936,480.5
0.01307706118,481.0
0.01595857143,481.5
0.01943384171,482.0
0.02370754719,482.5
0.02872772217,483.0
0.03464089632,483.5
0.04167230606,484.0
0.04966032505,484.5
0.05919353485,485.0
0.06992929459,485.5
0.08217963219,486.0
0.09620521545,486.5
0.1114160156,487.0
0.1281472301,487.5
0.1471142292,488.0
0.1669654846,488.5
0.1889259338,489.0
0.2120778275,489.5
0.2362485313,490.0
0.2618263626,490.5
0.2877396965,491.0
0.3142494202,491.5
0.3422417831,492.0
0.3695867538,492.5
0.3977479172,493.0
0.4255845261,493.5
0.4528088379,494.0
0.4806955719,494.5
0.5073743439,495.0
0.5331735611,495.5
0.5595597076,496.0
0.5834102631,496.5
0.6068194962,497.0
0.6298374557,497.5
0.6514392853,498.0
0.6726944733,498.5
0.6921595001,499.0
0.7108501434,499.5
0.7284253693,500.0
0.7446763611,500.5
0.7599686432,501.0
0.7743934631,501.5
0.7880669403,502.0
0.8006488037,502.5
0.812434845,503.0
0.8232234192,503.5
0.8338137054,504.0
0.8429095459,504.5
0.8516732788,505.0
0.8601041412,505.5
0.8671925354,506.0
0.874201889,506.5
0.8803078461,507.0
0.8863916779,507.5
0.8917706299,508.0
0.896638031,508.5
0.9010810089,509.0
0.905133667,509.5
0.9090045166,510.0
0.9124517822,510.5
0.915404129,511.0
0.9185337067,511.5
0.9212495422,512.0
0.9234123993,512.5
0.9257933807,513.0
0.9279024506,513.5
0.9296917725,514.0
0.9311759186,514.5
0.9325953674,515.0
0.9338522339,515.5
0.9350623322,516.0
0.9360092926,516.5
0.9369736481,517.0
0.9376205444,517.5
0.9384767151,518.0
0.9389930725,518.5
0.9393641663,519.0
0.9398028564,519.5
0.9404483795,520.0
0.9407440186,520.5
0.9410150146,521.0
0.9412832642,521.5
0.9411099243,522.0
0.9410169983,522.5
0.9409174347,523.0
0.9409336853,523.5
0.9408493042,524.0
0.9403474426,524.5
0.9398947144,525.0
0.9398835754,525.5
0.9394245911,526.0
0.9390195465,526.5
0.9384949493,527.0
0.9380600739,527.5
0.9375413513,528.0
0.9371824646,528.5
0.9363430023,529.0
0.9360139465,529.5
0.9352339172,530.0
0.9346012115,530.5
0.9338285828,531.0
0.9330584717,531.5
0.9320334625,532.0
0.9313159943,532.5
0.93021698,533.0
0.9295490265,533.5
0.9283392334,534.0
0.927181778,534.5
0.9264871979,535.0
0.9252713013,535.5
0.9242010498,536.0
0.9231174469,536.5
0.9218958282,537.0
0.9206368256,537.5
0.9193492889,538.0
0.9181449127,538.5
0.9169980621,539.0
0.9156217957,539.5
0.9140821838,540.0
0.9127336121,540.5
0.9112490082,541.0
0.9094870758,541.5
0.9079370117,542.0
0.9064783478,542.5
0.9049147034,543.0
0.9030392456,543.5
0.9014329529,544.0
0.8999219513,544.5
0.8978933716,545.0
0.8963648224,545.5
0.8944308472,546.0
0.8925012207,546.5
0.8908204651,547.0
0.8886943054,547.5
0.8868076324,548.0
0.884752655,548.5
0.8826218414,549.0
0.88063797,549.5
0.8783351135,550.0
0.8761248779,550.5
0.8737770081,551.0
0.8715773773,551.5
0.8692105103,552.0
0.8666313171,552.5
0.8643718719,553.0
0.8617847443,553.5
0.8593344116,554.0
0.8569258118,554.5
0.8542190552,555.0
0.8516398621,555.5
0.8490670013,556.0
0.846227951,556.5
0.8434403992,557.0
0.8409331512,557.5
0.8378134155,558.0
0.835109787,558.5
0.8321211243,559.0
0.8292044067,559.5
0.8260502625,560.0
0.822993927,560.5
0.8200279236,561.0
0.8167664337,561.5
0.8133264923,562.0
0.810362854,562.5
0.8069631195,563.0
0.803680954,563.5
0.8002459717,564.0
0.7968193054,564.5
0.7934845734,565.0
0.7899034882,565.5
0.786421051,566.0
0.7824949646,566.5
0.7788956451,567.0
0.7753103638,567.5
0.7714204407,568.0
0.7677945709,568.5
0.7637065887,569.0
0.7599425507,569.5
0.7560439301,570.0
0.7523031616,570.5
0.7480906677,571.0
0.7440753937,571.5
0.7399610901,572.0
0.735825119,572.5
0.7319715881,573.0
0.72756073,573.5
0.7233641052,574.0
0.7191138458,574.5
0.7146160126,575.0
0.7101899719,575.5
0.7057722473,576.0
0.7013635254,576.5
0.6968399048,577.0
0.6922498322,577.5
0.6877945709,578.0
0.6832111359,578.5
0.6783309174,579.0
0.6740032196,579.5
0.6691707611,580.0
0.6643858337,580.5
0.6599272156,581.0
0.6548167419,581.5
0.6499062347,582.0
0.6452198792,582.5
0.6401839447,583.0
0.6355472946,583.5
0.6305037689,584.0
0.6252296448,584.5
0.6203679276,585.0
0.6151489639,585.5
0.6100577164,586.0
0.6052293015,586.5
0.6001616287,587.0
0.5951968384,587.5
0.5896548462,588.0
0.5844565201,588.5
0.5793376541,589.0
0.5743334961,589.5
0.5689231873,590.0
0.5635796356,590.5
0.5581464767,591.0
0.5531253815,591.5
0.5477048874,592.0
0.542347374,592.5
0.5372424698,593.0
0.531584816,593.5
0.5263497162,594.0
0.5211079025,594.5
0.5154794312,595.0
0.5102602768,595.5
0.504949646,596.0
0.4994016266,596.5
0.4939841843,597.0
0.4885216904,597.5
0.4831216812,598.0
0.477804184,598.5
0.4722030258,599.0
0.467001152,599.5
0.4615642548,600.0
0.4562159729,600.5
0.4510167313,601.0
0.4454005814,601.5
0.4400843811,602.0
0.4347232437,602.5
0.4291197205,603.0
0.4239346313,603.5
0.418678627,604.0
0.4132099152,604.5
0.4079430771,605.0
0.4026528931,605.5
0.3972542191,606.0
0.3921229553,606.5
0.3865452576,607.0
0.3813853455,607.5
0.3761058426,608.0
0.3706977844,608.5
0.3656022644,609.0
0.3604383469,609.5
0.3551765823,610.0
0.3500779343,610.5
0.3447874832,611.0
0.3398717499,611.5
0.3347045135,612.0
0.3295908737,612.5
0.3244970322,613.0
0.3195314407,613.5
0.3145994186,614.0
0.3096417809,614.5
0.3046535492,615.0
0.2998902512,615.5
0.2950261307,616.0
0.2900625229,616.5
0.2853107071,617.0
0.2804386902,617.5
0.2757245255,618.0
0.2711061478,618.5
0.266454277,619.0
0.2620016098,619.5
0.2573279762,620.0
0.2527009583,620.5
0.2482754326,621.0
0.2437682724,621.5
0.2393500328,622.0
0.2351421738,622.5
0.2307086372,623.0
0.2264685249,623.5
0.2222656822,624.0
0.2180422783,624.5
0.2139551544,625.0
0.2098151207,625.5
0.2056886673,626.0
0.201755352,626.5
0.1977576256,627.0
0.1938134766,627.5
0.1899664497,628.0
0.1860237503,628.5
0.1823073387,629.0
0.1785336876,629.5
0.1747761154,630.0
0.171119957,630.5
0.1674389458,631.0
0.1639802361,631.5
0.1605159378,632.0
0.1569801998,632.5
0.153572607,633.0
0.1502117348,633.5
0.1468571281,634.0
0.1436459732,634.5
0.1404292583,635.0
0.1373028564,635.5
0.1341743279,636.0
0.131034565,636.5
0.1281057549,637.0
0.1251053524,637.5
0.1221404839,638.0
0.1193331242,638.5
0.1163498116,639.0
0.1135905266,639.5
0.1108197689,640.0
0.1081656933,640.5
0.1055175686,641.0
0.1029586029,641.5
0.1003351021,642.0
0.09785835266,642.5
0.09535349846,643.0
0.0929284668,643.5
0.09059548378,644.0
0.08821162224,644.5
0.08600567818,645.0
0.08377114296,645.5
0.08151580811,646.0
0.07941412926,646.5
0.07730145931,647.0
0.07523646355,647.5
0.07322494507,648.0
0.07114603996,648.5
0.06924304962,649.0
0.06734839916,649.5
0.06542395115,650.0
0.06363815784,650.5
0.06184886456,651.0
0.06007678509,651.5
0.05839880943,652.0
0.05661710262,652.5
0.0549940443,653.0
0.05342235565,653.5
0.05183220863,654.0
0.05034593582,654.5
0.04884883881,655.0
0.04736843109,655.5
0.04596109867,656.0
0.04456466675,656.5
0.04324138641,657.0
0.04192415237,657.5
0.0406126833,658.0
0.03938443184,658.5
0.03814199448,659.0
0.03698195934,659.5
0.03582280159,660.0
0.03465288877,660.5
0.03358360767,661.0
0.0324857235,661.5
0.03139234304,662.0
0.03040783405,662.5
0.02939777374,663.0
0.02842942715,663.5
0.02752418041,664.0
0.02660189629,664.5
0.02572211027,665.0
0.02487024307,665.5
0.02400501966,666.0
0.0232175684,666.5
0.02241935015,667.0
0.02163750172,667.5
0.02091055155,668.0
0.02018538713,668.5
0.01948992133,669.0
0.01881644726,669.5
0.01815524101,670.0
0.01752704144,670.5
0.01689406276,671.0
0.0162697494,671.5
0.01569044232,672.0
0.01512484789,672.5
0.01458825111,673.0
0.01405288219,673.5
0.0135197413,674.0
0.01304362655,674.5
0.01254968762,675.0
0.01209162831,675.5
0.01162640929,676.0
0.0111888504,676.5
0.01076592684,677.0
0.01036977291,677.5
0.0099791044,678.0
0.00960958839,678.5
0.0092514807,679.0
0.00889567196,679.5
0.00854550123,680.0
0.00820583463,680.5
0.00787006199,681.0
0.00758093,681.5
0.00727559507,682.0
0.00699908018,682.5
0.00671854317,683.0
0.00643499553,683.5
0.00618537903,684.0
0.00593928814,684.5
0.0056866914,685.0
0.00546111405,685.5
0.00523774266,686.0
0.00502316713,686.5
0.00483115435,687.0
0.00462327838,687.5
0.00442937076,688.0
0.00426207006,688.5
0.00406356841,689.0
0.00390985012,689.5
0.00374686688,690.0
0.00357972354,690.5
0.00343728572,691.0
0.00328110576,691.5
0.00315038532,692.0
0.00301988483,692.5
0.00287860483,693.0
0.0027514118,693.5
0.00264168084,694.0
0.00251404584,694.5
0.00241041139,695.0
0.00231022298,695.5
0.00220927298,696.0
0.002108749,696.5
0.00201454878,697.0
0.00191407114,697.5
0.00184153155,698.0
0.00176720485,698.5
0.00167844623,699.0
0.00161848038,699.5
0.00154295832,700.0
0.00147627547,700.5
0.00140591785,701.0
0.00134910077,701.5
0.00128887355,702.0
0.00123094335,702.5
0.00115886129,703.0
0.00111565679,703.5
0.00106412172,704.0
0.00101784244,704.5
0.00097508125,705.0
0.00092415296,705.5
0.00088777304,706.0
0.00083722115,706.5
0.00080663078,707.0
0.0007602337,707.5
0.00072629765,708.0
0.00069421567,708.5
0.00064884402,709.0
0.00063475892,709.5
0.00059723824,710.0
0.00057004973,710.5
0.00055761643,711.0
0.0005191518,711.5
0.00049695354,712.0
