throughput,wavelength
0.00017918412,440.0
0.0001893487,440.2
0.00020161336,440.4
0.00021315575,440.6
0.00022613831,440.8
0.00024024019,441.0
0.00025636666,441.2
0.00027260732,441.4
0.0002914514,441.6
0.0003090605,441.8
0.0003286482,442.0
0.00034935392,442.2
0.00037316892,442.4
0.00039834984,442.6
0.00042551059,442.8
0.00045578696,443.0
0.00048450932,443.2
0.00051785346,443.4
0.00055486761,443.6
0.00059426092,443.8
0.00063717954,444.0
0.00068477392,444.2
0.00073361397,444.4
0.00078872181,444.6
0.00084457725,444.8
0.00090765588,445.0
0.00097960129,445.2
0.00105573461,445.4
0.00114035301,445.6
0.00122756794,445.8
0.00132493123,446.0
0.00143042013,446.2
0.00155286521,446.4
0.00167603657,446.6
0.00182599142,446.8
0.00198195592,447.0
0.00214363605,447.2
0.00232305139,447.4
0.0025313586,447.6
0.00275803447,447.8
0.00300547242,448.0
0.00329659492,448.2
0.00360529959,448.4
0.00393476486,448.6
0.00428833664,448.8
0.00470353186,449.0
0.0051614207,449.2
0.00568574369,449.4
0.006256181,449.6
0.00688598037,449.8
0.00758295536,450.0
0.00835235715,450.2
0.00923283696,450.4
0.01025696516,450.6
0.01141499639,450.8
0.0126564467,451.0
0.01404556155,451.2
0.01557246208,451.4
0.0173256588,451.6
0.01934687614,451.8
0.02162276506,452.0
0.02428234816,452.2
0.02714127779,452.4
0.03032543659,452.6
0.03395342112,452.8
0.03811983824,453.0
0.04313122272,453.2
0.04852358818,453.4
0.05486305237,453.6
0.0615666151,453.8
0.06944611073,454.0
0.07816742897,454.2
0.0880993557,454.4
0.09981760025,454.6
0.1124630451,454.8
0.1267657089,455.0
0.1418198013,455.2
0.1586997986,455.4
0.1775872993,455.6
0.1985918236,455.8
0.2216564751,456.0
0.2463628578,456.2
0.2715868378,456.4
0.2980163193,456.6
0.3270058823,456.8
0.3562646484,457.0
0.3868896866,457.2
0.4191605377,457.4
0.451096344,457.6
0.4813975906,457.8
0.51133358,458.0
0.5417032242,458.2
0.5697416687,458.4
0.5979792404,458.6
0.6231488037,458.8
0.6492987823,459.0
0.6703211975,459.2
0.6913895416,459.4
0.7101042175,459.6
0.7271382904,459.8
0.7423464966,460.0
0.7532902527,460.2
0.7655357361,460.4
0.7760402679,460.6
0.787396698,460.8
0.7927789307,461.0
0.7966494751,461.2
0.8050972748,461.4
0.8107660675,461.6
0.8162975311,461.8
0.8217342377,462.0
0.8203374481,462.2
0.8247032166,462.4
0.8266326904,462.6
0.83046875,462.8
0.8314911652,463.0
0.8311093903,463.2
0.8340264893,463.4
0.8358850861,463.6
0.8369739532,463.8
0.8366384125,464.0
0.8384339905,464.2
0.8372169495,464.4
0.8384951019,464.6
0.839743576,464.8
0.838500061,465.0
0.8399541473,465.2
0.8379660034,465.4
0.8382910156,465.6
0.8373970032,465.8
0.8403981781,466.0
0.8347669983,466.2
0.8375041199,466.4
0.8340200043,466.6
0.835655899,466.8
0.8351998138,467.0
0.8333992004,467.2
0.8327700806,467.4
0.8335388947,467.6
0.8290384674,467.8
0.8330508423,468.0
0.8290726471,468.2
0.8271913147,468.4
0.828089447,468.6
0.8275190735,468.8
0.8213465118,469.0
0.8243715668,469.2
0.8234828949,469.4
0.8213213348,469.6
0.8216065979,469.8
0.8214038086,470.0
0.8188591003,470.2
0.8185592651,470.4
0.8147447205,470.6
0.8126157379,470.8
0.8114096069,471.0
0.8116282654,471.2
0.8043358612,471.4
0.8001931763,471.6
0.7960762787,471.8
0.7901459503,472.0
0.785164566,472.2
0.7762572479,472.4
0.7652024841,472.6
0.7529527283,472.8
0.7414032745,473.0
0.727381134,473.2
0.7122689819,473.4
0.694050293,473.6
0.6739026642,473.8
0.6520904541,474.0
0.6303636551,474.2
0.6065365219,474.4
0.5805541229,474.6
0.5528392792,474.8
0.5237664413,475.0
0.4941693115,475.2
0.466113205,475.4
0.4373510361,475.6
0.4072943497,475.8
0.3780804062,476.0
0.3485924149,476.2
0.3215382767,476.4
0.2951744461,476.6
0.2715968704,476.8
0.2483863258,477.0
0.2258824158,477.2
0.2052280807,477.4
0.1860011482,477.6
0.1681233978,477.8
0.1527026463,478.0
0.1384069061,478.2
0.1247438049,478.4
0.1124435234,478.6
0.1010625839,478.8
0.09069465637,479.0
0.08184239388,479.2
0.0741994524,479.4
0.06731608391,479.6
0.06088371754,479.8
0.05502977371,480.0
0.0496763134,480.2
0.04473059654,480.4
0.04065500259,480.6
0.03705741167,480.8
0.03368766546,481.0
0.03069455862,481.2
0.02781253099,481.4
0.02524518967,481.6
0.02300128937,481.8
0.02108793974,482.0
0.01931565642,482.2
0.01769126177,482.4
0.0161859715,482.6
0.01483053446,482.8
0.01360679746,483.0
0.01250298262,483.2
0.01152009368,483.4
0.01065830231,483.6
0.00984268546,483.8
0.00906186461,484.0
0.00836585343,484.2
0.00772904158,484.4
0.00715285897,484.6
0.00665973008,484.8
0.00619064927,485.0
0.00573382616,485.2
0.00532672525,485.4
0.00494077474,485.6
0.00460384518,485.8
0.00429719955,486.0
0.00402166426,486.2
0.00376422346,486.4
0.00350074738,486.6
0.00327608734,486.8
0.00305999696,487.0
0.00287292928,487.2
0.00269819439,487.4
0.00253391385,487.6
0.00238428965,487.8
0.00223642498,488.0
0.00210224956,488.2
0.00197710216,488.4
0.00186392531,488.6
0.00175877541,488.8
0.00165885359,489.0
0.00157074288,489.2
0.00147774234,489.4
0.00140322074,489.6
0.00132130832,489.8
0.00125237629,490.0
