throughput,wavelength
0.00066612512,390.0
0.00084296837,390.5
0.00108113036,391.0
0.00139096633,391.5
0.00180134043,392.0
0.00236623898,392.5
0.00310545415,393.0
0.00414204001,393.5
0.00557571948,394.0
0.00753718257,394.5
0.01036538124,395.0
0.01431612253,395.5
0.01987897635,396.0
0.02797245979,396.5
0.03929669142,397.0
0.0553405714,397.5
0.07835663795,398.0
0.1091271305,398.5
0.1518044758,399.0
0.2049308014,399.5
0.2699368858,400.0
0.3462997818,400.5
0.4237071991,401.0
0.5056027222,401.5
0.5813362122,402.0
0.6439125824,402.5
0.7006054688,403.0
0.7412110138,403.5
0.7715451813,404.0
0.7946260071,404.5
0.8097980499,405.0
0.8220194244,405.5
0.8329819489,406.0
0.8358776855,406.5
0.8371273041,407.0
0.8414880371,407.5
0.8406916046,408.0
0.8362675476,408.5
0.8374694061,409.0
0.8297529602,409.5
0.8249234009,410.0
0.821348877,410.5
0.8174228668,411.0
0.8159725952,411.5
0.8155957031,412.0
0.8161042786,412.5
0.8170501709,413.0
0.8169094086,413.5
0.8166168213,414.0
0.8143032837,414.5
0.8080618286,415.0
0.7982048798,415.5
0.7828424835,416.0
0.7618281555,416.5
0.7333940887,417.0
0.6975297546,417.5
0.6479889679,418.0
0.588703804,418.5
0.5189463043,419.0
0.4437242126,419.5
0.367188797,420.0
0.2928516197,420.5
0.228276577,421.0
0.173261013,421.5
0.1293040657,422.0
0.09590226173,422.5
0.07062521458,423.0
0.05240064621,423.5
0.03913807154,424.0
0.02929711103,424.5
0.02215641499,425.0
0.01687582612,425.5
0.01302670121,426.0
0.01016112566,426.5
0.00795016825,427.0
0.00631736219,427.5
0.00507969439,428.0
0.00407523662,428.5
0.00330324411,429.0
0.0027061525,429.5
0.00222630844,430.0
