throughput,wavelength
0.00032348711,520.0
0.00033784505,520.2
0.00035656031,520.4
0.00037391555,520.6
0.00039286036,520.8
0.00041473478,521.0
0.00043586224,521.2
0.00045951705,521.4
0.00048574124,521.6
0.00050965928,521.8
0.00053923525,522.0
0.00056709755,522.2
0.00060005724,522.4
0.00063415527,522.6
0.00067085974,522.8
0.00070664451,523.0
0.00074955724,523.2
0.00079502128,523.4
0.00083621681,523.6
0.0008855208,523.8
0.00094100475,524.0
0.00099551409,524.2
0.00105882868,524.4
0.00112499192,524.6
0.00119245961,524.8
0.00126388967,525.0
0.00134931505,525.2
0.00143428758,525.4
0.00152324751,525.6
0.00162465811,525.8
0.00172944024,526.0
0.0018418698,526.2
0.0019607845,526.4
0.00209096104,526.6
0.00223424211,526.8
0.00238599554,527.0
0.00254999161,527.2
0.0027289173,527.4
0.00291737318,527.6
0.00310972452,527.8
0.00333846748,528.0
0.00358136922,528.2
0.0038539356,528.4
0.00414169103,528.6
0.00444090009,528.8
0.00476563484,529.0
0.00512391686,529.2
0.00552486181,529.4
0.00593759656,529.6
0.00641586363,529.8
0.00691887617,530.0
0.00746725261,530.2
0.00803515196,530.4
0.0086855793,530.6
0.00941273034,530.8
0.01020216703,531.0
0.011052984,531.2
0.01200423598,531.4
0.01299002171,531.6
0.01404714108,531.8
0.01527333856,532.0
0.01657640934,532.2
0.01809404969,532.4
0.0196963048,532.6
0.02152196646,532.8
0.02333583593,533.0
0.02540469885,533.2
0.02777065039,533.4
0.0304078126,533.6
0.03321278572,533.8
0.03630841494,534.0
0.03958522558,534.2
0.04312012196,534.4
0.04721929073,534.6
0.05170433044,534.8
0.05680868626,535.0
0.06215382576,535.2
0.06824406147,535.4
0.07446673393,535.6
0.08128270149,535.8
0.08906835556,536.0
0.09770138741,536.2
0.107207489,536.4
0.1176556206,536.6
0.1279168701,536.8
0.1396204662,537.0
0.1520001411,537.2
0.1657272148,537.4
0.1808458519,537.6
0.1972663116,537.8
0.2137691307,538.0
0.2321089363,538.2
0.2498403168,538.4
0.269554882,538.6
0.2913638115,538.8
0.3126139641,539.0
0.3350365067,539.2
0.3584943771,539.4
0.3824141312,539.6
0.4056672287,539.8
0.4300747681,540.0
0.4550910187,540.2
0.4804868698,540.4
0.5042124939,540.6
0.5284856033,540.8
0.5516675568,541.0
0.5741723633,541.2
0.5955253983,541.4
0.6182292175,541.6
0.6383416748,541.8
0.6569390869,542.0
0.6754748535,542.2
0.6952492523,542.4
0.7096697998,542.6
0.7239152527,542.8
0.7384564209,543.0
0.7516066742,543.2
0.7630883026,543.4
0.7728216553,543.6
0.7823789978,543.8
0.793983078,544.0
0.8022135162,544.2
0.8104397583,544.4
0.8164753723,544.6
0.8228001404,544.8
0.8265869904,545.0
0.8343616486,545.2
0.8363166809,545.4
0.8404280853,545.6
0.8461989594,545.8
0.8492253113,546.0
0.8539781189,546.2
0.856186676,546.4
0.8598130798,546.6
0.8605922699,546.8
0.8633457184,547.0
0.8651896667,547.2
0.8680516815,547.4
0.8665415955,547.6
0.8700287628,547.8
0.8719884491,548.0
0.8729676056,548.2
0.8764771271,548.4
0.8748669434,548.6
0.8755636597,548.8
0.8765985107,549.0
0.8798072052,549.2
0.8794029999,549.4
0.8766510773,549.6
0.8772654724,549.8
0.8791136932,550.0
0.8795006561,550.2
0.8802030945,550.4
0.8816330719,550.6
0.8794245148,550.8
0.8812507629,551.0
0.8808023071,551.2
0.8789051819,551.4
0.8808901215,551.6
0.8780387115,551.8
0.8795497894,552.0
0.8782862091,552.2
0.8762198639,552.4
0.8758366394,552.6
0.8777523804,552.8
0.876822052,553.0
0.8768788147,553.2
0.8729821014,553.4
0.8734150696,553.6
0.8751905823,553.8
0.8741197968,554.0
0.8738892365,554.2
0.8724074554,554.4
0.8701413727,554.6
0.8692520905,554.8
0.8684751892,555.0
0.864916153,555.2
0.8639403534,555.4
0.8624789429,555.6
0.857742691,555.8
0.8543658447,556.0
0.8486659241,556.2
0.8468457794,556.4
0.8393560791,556.6
0.8312718201,556.8
0.8262046814,557.0
0.8172534943,557.2
0.8047848511,557.4
0.7963344574,557.6
0.7823169708,557.8
0.7673265076,558.0
0.7499164581,558.2
0.7352323151,558.4
0.7174607849,558.6
0.6960820007,558.8
0.6751113892,559.0
0.6503957367,559.2
0.6289566803,559.4
0.6009448242,559.6
0.5775322342,559.8
0.5511719131,560.0
0.5247740173,560.2
0.4964344788,560.4
0.4684717178,560.6
0.4409915924,560.8
0.4153514862,561.0
0.3886560059,561.2
0.3634258652,561.4
0.3386190414,561.6
0.3134069443,561.8
0.2910123253,562.0
0.2685474396,562.2
0.2493338585,562.4
0.2301980782,562.6
0.2120607567,562.8
0.1946722794,563.0
0.1786989784,563.2
0.1633529663,563.4
0.1506354809,563.6
0.1388718796,563.8
0.1274792671,564.0
0.1170139122,564.2
0.1074837399,564.4
0.09797586441,564.6
0.08970973969,564.8
0.08276414871,565.0
0.07567880154,565.2
0.06976879597,565.4
0.06415762901,565.6
0.05876023769,565.8
0.05397652149,566.0
0.04962424278,566.2
0.04602403164,566.4
0.04243838787,566.6
0.03921049118,566.8
0.03606470585,567.0
0.03330879927,567.2
0.03080479145,567.4
0.02846967936,567.6
0.02643633604,567.8
0.02452832937,568.0
0.02272093534,568.2
0.02110345364,568.4
0.01959267616,568.6
0.01823091507,568.8
0.01695787191,569.0
0.01578543544,569.2
0.01476061583,569.4
0.01375596881,569.6
0.01273570776,569.8
0.01196405888,570.0
0.01121374726,570.2
0.01049141407,570.4
0.00986927748,570.6
0.00921664834,570.8
0.00863453209,571.0
0.00809291124,571.2
0.00761303365,571.4
0.00714603543,571.6
0.00672614873,571.8
0.00632590354,572.0
0.00595459282,572.2
0.00560153067,572.4
0.00527417123,572.6
0.00497739852,572.8
0.0046991989,573.0
0.0044658339,573.2
0.00419104576,573.4
0.00396315485,573.6
0.00374020666,573.8
0.00353835642,574.0
0.00335655004,574.2
0.00317989111,574.4
0.00301396936,574.6
0.00285364091,574.8
0.00270577461,575.0
0.00256255448,575.2
0.00243331209,575.4
0.0023094599,575.6
0.00220589265,575.8
0.00209518448,576.0
0.0019957225,576.2
0.00189527899,576.4
0.00180505887,576.6
0.00172186613,576.8
0.00163774282,577.0
0.00156992227,577.2
0.0014979215,577.4
0.00142736107,577.6
0.00136287764,577.8
0.00130194664,578.0
0.00123875298,578.2
0.00118764952,578.4
0.0011319299,578.6
0.00108701192,578.8
0.0010398411,579.0
0.00099498846,579.2
0.00095467836,579.4
0.00091328345,579.6
0.00087417036,579.8
0.00083642863,580.0
