throughput,wavelength
1.121E-04,348.0
1.508E-04,349.0
1.583E-04,350.0
1.927E-04,351.0
2.265E-04,352.0
2.336E-04,353.0
2.165E-04,354.0
2.300E-04,355.0
2.783E-04,356.0
3.291E-04,357.0
3.812E-04,358.0
4.237E-04,359.0
4.536E-04,360.0
4.996E-04,361.0
5.490E-04,362.0
6.071E-04,363.0
6.789E-04,364.0
7.407E-04,365.0
7.886E-04,366.0
8.320E-04,367.0
8.641E-04,368.0
8.897E-04,369.0
9.077E-04,370.0
9.264E-04,371.0
9.365E-04,372.0
9.370E-04,373.0
9.395E-04,374.0
1.000E-03,375.0
9.914E-04,376.0
9.873E-04,377.0
9.737E-04,378.0
9.516E-04,379.0
9.258E-04,380.0
9.035E-04,381.0
8.730E-04,382.0
8.389E-04,383.0
8.059E-04,384.0
7.770E-04,385.0
7.384E-04,386.0
7.001E-04,387.0
6.615E-04,388.0
6.169E-04,389.0
5.831E-04,390.0
5.563E-04,391.0
5.361E-04,392.0
5.005E-04,393.0
4.508E-04,394.0
3.983E-04,395.0
3.697E-04,396.0
3.790E-04,397.0
4.003E-04,398.0
4.145E-04,399.0
3.953E-04,400.0
3.424E-04,401.0
2.973E-04,402.0
2.853E-04,403.0
3.305E-04,404.0
3.981E-04,405.0
4.674E-04,406.0
5.121E-04,407.0
5.376E-04,408.0
5.777E-04,409.0
6.905E-04,410.0
9.656E-04,411.0
1.441E-03,412.0
2.082E-03,413.0
2.756E-03,414.0
3.377E-03,415.0
3.994E-03,416.0
4.842E-03,417.0
6.326E-03,418.0
8.848E-03,419.0
1.278E-02,420.0
1.821E-02,421.0
2.507E-02,422.0
3.332E-02,423.0
4.333E-02,424.0
5.630E-02,425.0
7.321E-02,426.0
9.461E-02,427.0
1.205E-01,428.0
1.501E-01,429.0
1.815E-01,430.0
2.125E-01,431.0
2.417E-01,432.0
2.704E-01,433.0
2.988E-01,434.0
3.282E-01,435.0
3.559E-01,436.0
3.811E-01,437.0
4.020E-01,438.0
4.173E-01,439.0
4.278E-01,440.0
4.360E-01,441.0
4.409E-01,442.0
4.450E-01,443.0
4.487E-01,444.0
4.519E-01,445.0
4.553E-01,446.0
4.585E-01,447.0
