throughput,wavelength
0.00011969238,670.0
0.00017123528,670.5
0.0002027346,671.0
0.00023341145,671.5
0.00031383272,672.0
0.00037302256,672.5
0.00047246493,673.0
0.00056237582,673.5
0.00067816891,674.0
0.00082015045,674.5
0.00101938009,675.0
0.00125379831,675.5
0.00149728432,676.0
0.00182799459,676.5
0.00218572959,677.0
0.00265487224,677.5
0.00323602647,678.0
0.00388516694,678.5
0.00464723021,679.0
0.00561466515,679.5
0.00666849196,680.0
0.00801032662,680.5
0.00953857303,681.0
0.01128253937,681.5
0.01340105891,682.0
0.01577499747,682.5
0.01853205204,683.0
0.02182562351,683.5
0.02543611765,684.0
0.02968399525,684.5
0.03444295406,685.0
0.03965537548,685.5
0.04574982643,686.0
0.05223544121,686.5
0.05958138466,687.0
0.06792178631,687.5
0.07664497375,688.0
0.08646559715,688.5
0.09693835258,689.0
0.1082090759,689.5
0.1206999969,690.0
0.1336982727,690.5
0.1474033546,691.0
0.162384243,691.5
0.1774313354,692.0
0.1937278366,692.5
0.2106496048,693.0
0.2280118561,693.5
0.2465071678,694.0
0.2648082924,694.5
0.2835372925,695.0
0.3031191254,695.5
0.3222249603,696.0
0.3420492935,696.5
0.3620080566,697.0
0.3816368103,697.5
0.4019284821,698.0
0.4213368988,698.5
0.4410341263,699.0
0.4608513641,699.5
0.4793960571,700.0
0.4984687805,700.5
0.5170384598,701.0
0.5349677277,701.5
0.5531984711,702.0
0.5704232025,702.5
0.5873753357,703.0
0.6044719696,703.5
0.6200693893,704.0
0.6357117844,704.5
0.6509149933,705.0
0.6655137634,705.5
0.679571228,706.0
0.6933322144,706.5
0.7063652039,707.0
0.7191659546,707.5
0.7309187317,708.0
0.7428128052,708.5
0.7538505554,709.0
0.7642508698,709.5
0.7746743774,710.0
0.7843341827,710.5
0.7936798859,711.0
0.8024674225,711.5
0.810641098,712.0
0.8189864349,712.5
0.8266438293,713.0
0.8341558075,713.5
0.8409130859,714.0
0.8472108459,714.5
0.8534152985,715.0
0.8594721222,715.5
0.8647407532,716.0
0.8699654388,716.5
0.8748609161,717.0
0.8792204285,717.5
0.8837449646,718.0
0.8875671387,718.5
0.8911352539,719.0
0.8949395752,719.5
0.898026123,720.0
0.9011211395,720.5
0.9041680145,721.0
0.9065672302,721.5
0.9092634583,722.0
0.9114276886,722.5
0.9137399292,723.0
0.9157304382,723.5
0.9175185394,724.0
