wavelength,throughput
600.0,7.33655646e-06
600.25,7.33703451e-06
600.5,7.33778192e-06
600.75,7.33888561e-06
601.0,7.34045932e-06
601.25,7.34657818e-06
601.5,7.35351225e-06
601.75,7.36151397e-06
602.0,7.37091033e-06
602.25,7.38073728e-06
602.5,7.39292159e-06
602.75,7.40816054e-06
603.0,7.42734728e-06
603.25,7.45081033e-06
603.5,7.48080933e-06
603.75,7.51918809e-06
604.0,7.56828236e-06
604.25,7.63283285e-06
604.5,7.71480405e-06
604.75,7.81888201e-06
605.0,7.95093942e-06
605.25,8.11716864e-06
605.5,8.32780495e-06
605.75,8.59419298e-06
606.0,8.93039055e-06
606.25,9.35476267e-06
606.5,9.88783367e-06
606.75,1.05559493e-05
607.0,1.13913956e-05
607.25,1.2431326e-05
607.5,1.37256408e-05
607.75,1.53325865e-05
608.0,1.73227218e-05
608.25,1.97821763e-05
608.5,2.28129829e-05
608.75,2.65385287e-05
609.0,3.11065837e-05
609.25,3.66972758e-05
609.5,4.3518405e-05
609.75,5.18198555e-05
610.0,6.18974605e-05
610.25,7.40879782e-05
610.5,8.88098947e-05
610.75,0.000106543953
611.0,0.000127852469
611.25,0.000153430224
611.5,0.00018401614
611.75,0.000220498447
612.0,0.00026390393
612.25,0.000315352801
612.5,0.000376243315
612.75,0.000448125947
613.0,0.000532770447
613.25,0.000632224683
613.5,0.000748750961
613.75,0.000884934586
614.0,0.00104368918
614.25,0.0012281804
614.5,0.00144214253
614.75,0.00168965572
615.0,0.00197525694
615.25,0.00230409484
615.5,0.00268164007
615.75,0.00311401093
616.0,0.00360791677
616.25,0.00417097088
616.5,0.00481095772
616.75,0.00553654954
617.0,0.00635711676
617.25,0.00728357282
617.5,0.00832613698
617.75,0.00949639446
618.0,0.0108066643
618.25,0.0122665434
618.5,0.0138923128
618.75,0.0156982444
619.0,0.0176992301
619.25,0.0199104804
619.5,0.0223481504
619.75,0.0250286284
620.0,0.0279686459
620.25,0.031187702
620.5,0.0347009485
620.75,0.0385255778
621.0,0.042678662
621.25,0.0471693173
621.5,0.0520200396
621.75,0.0572464475
622.0,0.0628633955
622.25,0.0689092278
622.5,0.0753768773
622.75,0.0822783009
623.0,0.0896239947
623.25,0.09742503
623.5,0.105686615
623.75,0.114413855
624.0,0.123609731
624.25,0.133242352
624.5,0.143337722
624.75,0.153891341
625.0,0.164896139
625.25,0.176349134
625.5,0.188232153
625.75,0.200530215
626.0,0.213225688
626.25,0.226282903
626.5,0.239692706
626.75,0.253429845
627.0,0.267466781
627.25,0.281808017
627.5,0.296391295
627.75,0.31118335
628.0,0.326149389
628.25,0.341219502
628.5,0.356387455
628.75,0.371615409
629.0,0.386865088
629.25,0.402158697
629.5,0.417401867
629.75,0.432556694
630.0,0.447585966
630.25,0.46237478
630.5,0.47696185
630.75,0.491313768
631.0,0.50539886
631.25,0.519135199
631.5,0.532544676
631.75,0.545602071
632.0,0.55828459
632.25,0.570707497
632.5,0.582723223
632.75,0.59431645
633.0,0.605474518
633.25,0.616143024
633.5,0.626357533
633.75,0.63611333
634.0,0.645408189
634.25,0.6542916
634.5,0.662717907
634.75,0.670691572
635.0,0.678219042
635.25,0.68513981
635.5,0.691629408
635.75,0.69769956
636.0,0.703363282
636.25,0.708732754
636.5,0.713726322
636.75,0.718359645
637.0,0.722648978
637.25,0.726512656
637.5,0.730065032
637.75,0.733323309
638.0,0.736304678
638.25,0.739226134
638.5,0.741905848
638.75,0.744360085
639.0,0.74660469
639.25,0.74856631
639.5,0.750348056
639.75,0.751964169
640.0,0.753428233
640.25,0.754719041
640.5,0.755882793
640.75,0.756930975
641.0,0.75787435
641.25,0.758618651
641.5,0.759277345
641.75,0.759859104
642.0,0.760371924
642.25,0.760866977
642.5,0.761307199
642.75,0.76169871
643.0,0.76204707
643.25,0.762427056
643.5,0.762773508
643.75,0.763090505
644.0,0.763381699
644.25,0.763699561
644.5,0.763997808
644.75,0.764279016
645.0,0.764545463
645.25,0.764699068
645.5,0.764841674
645.75,0.764974831
646.0,0.765099896
646.25,0.76504415
646.5,0.764982501
646.75,0.764915838
647.0,0.76484493
647.25,0.766469435
647.5,0.768091446
647.75,0.769711427
648.0,0.771329777
648.25,0.771868161
648.5,0.772405233
648.75,0.772941242
649.0,0.773476399
649.25,0.773365042
649.5,0.773252984
649.75,0.773140349
650.0,0.773027241
650.25,0.772907833
650.5,0.772788098
650.75,0.772668094
651.0,0.77254787
651.25,0.772526658
651.5,0.772505297
651.75,0.772483812
652.0,0.772462226
652.25,0.772552824
652.5,0.77264337
652.75,0.772733875
653.0,0.772824349
653.25,0.77295668
653.5,0.773089
653.75,0.773221313
654.0,0.773353623
654.25,0.773573348
654.5,0.773793095
654.75,0.774012867
655.0,0.774232665
655.25,0.774210857
655.5,0.774189046
655.75,0.774167231
656.0,0.774145414
656.25,0.774150206
656.5,0.774154981
656.75,0.774159739
657.0,0.774164481
657.25,0.773869813
657.5,0.773575187
657.75,0.773280606
658.0,0.772986068
658.25,0.772863765
658.5,0.772741401
658.75,0.772618976
659.0,0.772496489
659.25,0.772053228
659.5,0.77161005
659.75,0.771166955
660.0,0.770723944
660.25,0.770370698
660.5,0.770017385
660.75,0.769664008
661.0,0.769310564
661.25,0.768984586
661.5,0.768658603
661.75,0.768332613
662.0,0.768006618
662.25,0.767823671
662.5,0.76764064
662.75,0.767457527
663.0,0.767274329
663.25,0.76686421
663.5,0.766454131
663.75,0.766044091
664.0,0.76563409
664.25,0.765303605
664.5,0.764973162
664.75,0.76464276
665.0,0.7643124
665.25,0.76396472
665.5,0.763617104
665.75,0.763269553
666.0,0.762922065
666.25,0.762657586
666.5,0.76239314
666.75,0.762128728
667.0,0.761864349
667.25,0.761745446
667.5,0.761626536
667.75,0.761507619
668.0,0.761388696
668.25,0.761315946
668.5,0.761243174
668.75,0.76117038
669.0,0.761097564
669.25,0.761030624
669.5,0.760963664
