throughput,wavelength
1.190931e-05,350.0
6.8963e-06,350.5
1.189998e-05,351.0
1.877156e-05,351.5
1.136442e-05,352.0
1.401667e-05,352.5
1.959546e-05,353.0
1.74631e-05,353.5
1.811136e-05,354.0
8.72821e-06,354.5
1.335922e-05,355.0
1.11929e-05,355.5
1.334297e-05,356.0
1.132039e-05,356.5
1.544407e-05,357.0
1.344775e-05,357.5
2.439077e-05,358.0
1.546199e-05,358.5
2.317364e-05,359.0
9.92592e-06,359.5
1.548149e-05,360.0
1.548442e-05,360.5
9.44031e-06,361.0
1.283349e-05,361.5
2.236901e-05,362.0
2.047851e-05,362.5
2.325911e-05,363.0
8.54122e-06,363.5
1.552573e-05,364.0
9.35534e-06,364.5
1.689855e-05,365.0
2.297015e-05,365.5
6.83448e-06,366.0
2.524434e-05,366.5
3.39572e-06,367.0
1.840451e-05,367.5
6.40472e-06,368.0
2.28072e-06,368.5
1.767187e-05,369.0
1.09869e-06,369.5
3.94927e-06,370.0
2.239827e-05,370.5
2.168936e-05,371.0
2.232267e-05,371.5
2.671853e-05,372.0
4.077137e-05,372.5
4.561498e-05,373.0
8.228854e-05,373.5
0.00013112923,374.0
0.00024233602,374.5
0.00044999443,375.0
0.00082072176,375.5
0.00145927236,376.0
0.00260986835,376.5
0.00452859193,377.0
0.00759618759,377.5
0.01248730302,378.0
0.01956487417,378.5
0.02973155975,379.0
0.04390960693,379.5
0.06235129356,380.0
0.0859910965,380.5
0.1144234085,381.0
0.1471326542,381.5
0.1834326744,382.0
0.222427845,382.5
0.2631748962,383.0
0.3056590271,383.5
0.3463758087,384.0
0.3868283463,384.5
0.4245031738,385.0
0.459324913,385.5
0.4920298386,386.0
0.5211088181,386.5
0.547177124,387.0
0.5710490799,387.5
0.5917395401,388.0
0.6097492981,388.5
0.6259383011,389.0
0.6403244781,389.5
0.6532846832,390.0
0.664339447,390.5
0.6744042969,391.0
0.683457489,391.5
0.6912932587,392.0
0.6982952118,392.5
0.7046337891,393.0
0.7107082367,393.5
0.716275177,394.0
0.7209889221,394.5
0.7250675201,395.0
0.7292838287,395.5
0.733254776,396.0
0.7366383362,396.5
0.7402620697,397.0
0.7434194946,397.5
0.746452713,398.0
0.7493598175,398.5
0.752188797,399.0
0.7546469116,399.5
0.7571470642,400.0
0.7591510773,400.5
0.761701889,401.0
0.7635875702,401.5
0.7654750824,402.0
0.7673233795,402.5
0.7692060089,403.0
0.7709149933,403.5
0.772651062,404.0
0.7742188263,404.5
0.7759502411,405.0
0.7771947479,405.5
0.7786886597,406.0
0.7798709869,406.5
0.7811906433,407.0
0.7824817657,407.5
0.7834107971,408.0
0.7842727661,408.5
0.7853395081,409.0
0.7863160706,409.5
0.7872149658,410.0
0.7879842377,410.5
0.7887051392,411.0
0.7893934631,411.5
0.7900022888,412.0
0.790541687,412.5
0.7910342407,413.0
0.7915441132,413.5
0.7920077515,414.0
0.7922770691,414.5
0.7928269196,415.0
0.7930732727,415.5
0.7935735321,416.0
0.7940419769,416.5
0.7945341492,417.0
0.7951370239,417.5
0.7954438019,418.0
0.7958847809,418.5
0.7964757538,419.0
0.7966107941,419.5
0.7966840363,420.0
0.7968971252,420.5
0.7969796753,421.0
0.7969011688,421.5
0.7968493652,422.0
0.7964360809,422.5
0.7967707062,423.0
0.7964723969,423.5
0.7957125092,424.0
0.7955817413,424.5
0.7950920105,425.0
0.7946077728,425.5
0.7943753052,426.0
0.7937820435,426.5
0.7933563232,427.0
0.7929136658,427.5
0.7924263763,428.0
0.7920100403,428.5
0.7913903809,429.0
0.7907926178,429.5
0.790398941,430.0
0.7897385406,430.5
0.7891230011,431.0
0.7885530853,431.5
0.7877523041,432.0
0.7869898987,432.5
0.7861769104,433.0
0.7852441406,433.5
0.7846363831,434.0
0.7834304047,434.5
0.7826279449,435.0
0.7815898895,435.5
0.7805911255,436.0
0.7798509216,436.5
0.7787546539,437.0
0.777956543,437.5
0.7770388794,438.0
0.7762458038,438.5
