throughput,wavelength
1.71137e-06,650.0
-4.4142e-06,650.5
-9.27303e-06,651.0
-2.645421e-05,651.5
-1.717116e-05,652.0
1.239423e-05,652.5
-6.06e-07,653.0
1.23066e-06,653.5
-4.23443e-06,654.0
-1.248297e-05,654.5
-8.68469e-06,655.0
-1.750869e-05,655.5
2.06015e-06,656.0
-1.194403e-05,656.5
-1.291254e-05,657.0
-3.1238e-06,657.5
-7.44409e-06,658.0
-4.34816e-06,658.5
-9.94398e-06,659.0
1.74554e-06,659.5
-1.531652e-05,660.0
-1.079961e-05,660.5
-1.86467e-06,661.0
-1.335905e-05,661.5
-1.01939e-06,662.0
6.23024e-06,662.5
3.05983e-06,663.0
-4.63111e-06,663.5
-3.5804e-06,664.0
-5.2217e-06,664.5
-6.21033e-06,665.0
-1.899023e-05,665.5
1.12465e-06,666.0
-5.16576e-06,666.5
-1.017495e-05,667.0
9.87356e-06,667.5
4.65e-07,668.0
9.02e-07,668.5
7.12677e-06,669.0
-5.83881e-06,669.5
-1.52078e-06,670.0
-1.393079e-05,670.5
-1.49668e-06,671.0
8.5841e-06,671.5
-1.012537e-05,672.0
1.60679e-06,672.5
5.1567e-06,673.0
-1.363582e-05,673.5
1.311832e-05,674.0
-4.44922e-06,674.5
-1.143297e-05,675.0
-4.49897e-06,675.5
-9.45021e-06,676.0
7.00692e-06,676.5
-1.43296e-05,677.0
-5.74999e-06,677.5
-2.76532e-06,678.0
-6.39902e-06,678.5
-5.37278e-06,679.0
4.38165e-06,679.5
-6.84e-07,680.0
-1.230262e-05,680.5
-5.93783e-06,681.0
9.11298e-06,681.5
-3.87711e-06,682.0
4.47614e-06,682.5
7.67646e-06,683.0
-6.8222e-06,683.5
-4.39998e-06,684.0
3.87516e-06,684.5
2.35118e-06,685.0
-2.029648e-05,685.5
4.14e-07,686.0
-1.635886e-05,686.5
4.78e-07,687.0
2.5e-07,687.5
-1.33664e-06,688.0
2.57751e-06,688.5
4.27643e-06,689.0
1.27046e-06,689.5
2.39569e-06,690.0
3.56267e-06,690.5
8.19991e-06,691.0
2.453222e-05,691.5
4.088956e-05,692.0
4.189591e-05,692.5
7.481222e-05,693.0
9.487019e-05,693.5
0.00013984771,694.0
0.00018843642,694.5
0.00024696223,695.0
0.00035333447,695.5
0.00047881432,696.0
0.00060684089,696.5
0.0008030875,697.0
0.00106452577,697.5
0.0013595143,698.0
0.00173957825,698.5
0.00220261231,699.0
0.00278632492,699.5
0.00345059753,700.0
0.00426598907,700.5
0.00526497603,701.0
0.00638362467,701.5
0.00776228607,702.0
0.00930924594,702.5
0.01110278487,703.0
0.01326117635,703.5
0.01560429454,704.0
0.01827941298,704.5
0.02130756617,705.0
0.0246821022,705.5
0.02847261429,706.0
0.0326743269,706.5
0.03725657225,707.0
0.04241205215,707.5
0.04775942326,708.0
0.05369905472,708.5
0.06009550095,709.0
0.06692111492,709.5
0.07440625668,710.0
0.08209942818,710.5
0.09032663345,711.0
0.09933843613,711.5
0.1084534264,712.0
