throughput,wavelength
6.40528e-06,500.0
1.005445e-05,500.5
1.296943e-05,501.0
6.4353e-06,501.5
2.313954e-05,502.0
1.878117e-05,502.5
5.73986e-06,503.0
5.0248e-06,503.5
1.299657e-05,504.0
-1.590461e-05,504.5
7.26e-07,505.0
2.01e-08,505.5
9.40481e-06,506.0
1.661296e-05,506.5
9.41805e-06,507.0
1.229924e-05,507.5
5.11785e-06,508.0
1.661496e-05,508.5
1.374546e-05,509.0
-1.30854e-06,509.5
2.163043e-05,510.0
3.881915e-05,510.5
-2.70471e-06,511.0
-3.40843e-06,511.5
1.590417e-05,512.0
6.61504e-06,512.5
3.51851e-05,513.0
5.91282e-06,513.5
5.91789e-06,514.0
1.305341e-05,514.5
9.49136e-06,515.0
1.305774e-05,515.5
1.234643e-05,516.0
9.53e-07,516.5
2.47e-07,517.0
3.807e-06,517.5
-1.042334e-05,518.0
8.08616e-06,518.5
6.6634e-06,519.0
7.37723e-06,519.5
4.53568e-06,520.0
2.44473e-05,520.5
1.69596e-06,521.0
1.449598e-05,521.5
1.733695e-05,522.0
-7.54605e-06,522.5
1.307179e-05,523.0
1.236071e-05,523.5
2.231796e-05,524.0
1.164995e-05,524.5
2.231426e-05,525.0
2.374361e-05,525.5
3.725798e-05,526.0
6.145195e-05,526.5
9.206017e-05,527.0
0.000144066,527.5
0.00018539911,528.0
0.00025390651,528.5
0.00035718925,529.0
0.0004828706,529.5
0.00068507157,530.0
0.00089598425,530.5
0.00122358754,531.0
0.00162320286,531.5
0.00214303941,532.0
0.00278039992,532.5
0.00359431267,533.0
0.0046097073,533.5
0.00585106313,534.0
0.00735069692,534.5
0.00916002512,535.0
0.01128082752,535.5
0.01380915284,536.0
0.01668388605,536.5
0.02016466618,537.0
0.02409130573,537.5
0.02854949713,538.0
0.03360891819,538.5
0.03937093258,539.0
0.04578112125,539.5
0.05319667339,540.0
0.0611509037,540.5
0.06997237206,541.0
0.07972070694,541.5
0.09009226799,542.0
0.1014957142,542.5
0.1138482952,543.0
0.1269509315,543.5
0.1414231396,544.0
0.1564021587,544.5
0.1721929741,545.0
0.1889668465,545.5
0.2061864471,546.0
0.224479332,546.5
0.2432940674,547.0
0.2623634338,547.5
0.2820585632,548.0
0.3017926216,548.5
0.3220973587,549.0
0.3426568985,549.5
0.3631481171,550.0
0.3835516739,550.5
0.4041174698,551.0
0.4241514587,551.5
0.4445625687,552.0
0.4641624451,552.5
0.4836943817,553.0
0.5028790665,553.5
0.5214437866,554.0
0.5390733337,554.5
0.5568349457,555.0
0.5734955597,555.5
0.5901905441,556.0
0.6056552505,556.5
0.6209606552,557.0
0.6358601379,557.5
0.6498989105,558.0
0.6635919189,558.5
0.6767607117,559.0
0.6893357086,559.5
0.7017023468,560.0
0.713518219,560.5
0.724721756,561.0
0.7355791473,561.5
0.7458071136,562.0
0.7559877777,562.5
0.7656869507,563.0
0.7748226166,563.5
0.7834580231,564.0
0.7914771271,564.5
0.7995636749,565.0
0.8074297333,565.5
0.8145572662,566.0
0.8213800812,566.5
0.8279385376,567.0
0.8339758301,567.5
0.8397278595,568.0
0.8456260681,568.5
0.8516435242,569.0
0.8565226746,569.5
0.8613680267,570.0
0.8661239624,570.5
0.8706866455,571.0
0.8751502228,571.5
0.8797718048,572.0
0.8838235474,572.5
0.8878170013,573.0
0.8910770416,573.5
0.8947228241,574.0
0.8978172302,574.5
0.9005619812,575.0
0.9029167175,575.5
0.904964447,576.0
0.9070411682,576.5
0.9084314728,577.0
0.9097357178,577.5
0.91097435,578.0
0.9117844391,578.5
0.9122756195,579.0
0.9130020905,579.5
0.9133321381,580.0
0.9135212708,580.5
0.9143435669,581.0
0.9145029449,581.5
0.9148626709,582.0
0.9154914856,582.5
0.9162763977,583.0
0.9173231506,583.5
0.9185245514,584.0
0.9196451569,584.5
0.9213395691,585.0
0.9228334045,585.5
0.9244312286,586.0
0.9265906525,586.5
0.9284908295,587.0
0.9306778717,587.5
0.9321947479,588.0
0.9342571259,588.5
0.9359564972,589.0
0.937508316,589.5
0.9388367462,590.0
0.9398852539,590.5
0.9406117249,591.0
0.9414659882,591.5
0.9417729187,592.0
0.9418839264,592.5
0.9417102051,593.0
0.9415795898,593.5
0.9409532928,594.0
0.9404650116,594.5
0.9398816681,595.0
0.9387956238,595.5
0.9383966064,596.0
0.937490387,596.5
0.9368109894,597.0
0.9362002563,597.5
0.9358690643,598.0
0.9356263733,598.5
0.9355294037,599.0
0.9356406403,599.5
0.93603302,600.0
0.9367038727,600.5
0.9375283051,601.0
0.9380419159,601.5
0.9391564178,602.0
0.9402849579,602.5
0.94108284,603.0
0.942763443,603.5
0.9438939667,604.0
0.9449951935,604.5
0.9460476685,605.0
0.9469755554,605.5
0.9477622223,606.0
0.9483148193,606.5
0.9485147095,607.0
0.9484983063,607.5
0.9484339905,608.0
0.9475218964,608.5
0.9466979218,609.0
0.945397644,609.5
0.9438724518,610.0
0.9419055939,610.5
0.9398374176,611.0
0.9377524567,611.5
0.9351308441,612.0
0.932387619,612.5
0.9296484375,613.0
0.9270397949,613.5
0.9243780518,614.0
0.921852417,614.5
0.919234314,615.0
0.917008667,615.5
0.9152308655,616.0
0.9131598663,616.5
0.9116953278,617.0
0.9101178741,617.5
0.9092012024,618.0
0.9088768768,618.5
0.9086213684,619.0
0.9088286591,619.5
0.9091694641,620.0
0.9102108002,620.5
0.9110913086,621.0
0.9127993011,621.5
0.914229126,622.0
0.9162413788,622.5
0.9184098816,623.0
0.92056427,623.5
0.9228735352,624.0
0.9253456116,624.5
0.927787323,625.0
0.9299557495,625.5
0.9322264862,626.0
0.934526825,626.5
0.9368029785,627.0
0.9388726044,627.5
0.9406780243,628.0
0.9423427582,628.5
0.9437291718,629.0
0.945078125,629.5
0.9461700439,630.0
0.9472909546,630.5
0.9480180359,631.0
0.9485700989,631.5
0.9489167023,632.0
0.9497193146,632.5
0.9498360443,633.0
0.9502986908,633.5
0.9504618835,634.0
0.9509142303,634.5
0.9508703613,635.0
0.9510054779,635.5
0.9510138702,636.0
0.9512930298,636.5
0.9512221527,637.0
0.9510300446,637.5
0.9511902618,638.0
0.9508541107,638.5
0.9506461334,639.0
0.9504859161,639.5
0.9498548126,640.0
0.949703598,640.5
0.9488539124,641.0
0.9480773926,641.5
0.9474008942,642.0
0.9465502167,642.5
0.9455488586,643.0
0.944499054,643.5
0.943372345,644.0
0.9421721649,644.5
0.9408578491,645.0
0.9394454956,645.5
0.9378934479,646.0
0.9367267609,646.5
0.9352630615,647.0
0.9341477966,647.5
0.9327639008,648.0
0.9316635895,648.5
0.9304584503,649.0
