throughput,wavelength
0.00016264154,800.0
0.00018963877,800.5
0.00020750592,801.0
0.00021829199,801.5
0.00025613714,802.0
0.00027900053,802.5
0.00030044636,803.0
0.00033854853,803.5
0.00038375515,804.0
0.00040932562,804.5
0.00044921305,805.0
0.00047047481,805.5
0.0005521496,806.0
0.0006070789,806.5
0.0006826257,807.0
0.00075121425,807.5
0.00082081765,808.0
0.00091526434,808.5
0.00100465559,809.0
0.00114151031,809.5
0.00127192318,810.0
0.00139155626,810.5
0.00155677676,811.0
0.00174125478,811.5
0.00195910245,812.0
0.00219099522,812.5
0.00244018927,813.0
0.00274679124,813.5
0.00307872206,814.0
0.00347400844,814.5
0.00392366141,815.0
0.00440416336,815.5
0.00497558445,816.0
0.00562700152,816.5
0.00638235152,817.0
0.00722453415,817.5
0.00818775952,818.0
0.00934728801,818.5
0.01060488462,819.0
0.01204699874,819.5
0.01382231832,820.0
0.01577742934,820.5
0.01813292265,821.0
0.02080034018,821.5
0.02385746241,822.0
0.02743263245,822.5
0.03155581951,823.0
0.03633778095,823.5
0.04214263916,824.0
0.04865253448,824.5
0.0563351965,825.0
0.06532490253,825.5
0.07535921097,826.0
0.08745994568,826.5
0.1011077881,827.0
0.1169801903,827.5
0.1357068157,828.0
0.1566872406,828.5
0.1803422356,829.0
0.2078677368,829.5
0.2377613831,830.0
0.2716357422,830.5
0.3089262009,831.0
0.3493124771,831.5
0.3930091095,832.0
0.4376669693,832.5
0.4854937744,833.0
0.5350111008,833.5
0.5828665543,834.0
0.6312355804,834.5
0.6770334625,835.0
0.7197133636,835.5
0.7604932404,836.0
0.7958618927,836.5
0.8277132416,837.0
0.8566439819,837.5
0.8804237366,838.0
0.9004329681,838.5
0.917141571,839.0
0.9303395844,839.5
0.9416445923,840.0
0.9495669556,840.5
0.9563532257,841.0
0.9605198669,841.5
0.9645658875,842.0
0.9659714508,842.5
0.9665583801,843.0
0.9666310883,843.5
0.9655806732,844.0
0.9645715332,844.5
0.9631420135,845.0
0.9603290558,845.5
0.9584412384,846.0
0.9555989075,846.5
0.9531435394,847.0
0.950959549,847.5
0.9478990936,848.0
0.9448738861,848.5
0.9426082611,849.0
0.9389945221,849.5
0.9369651794,850.0
0.9332759094,850.5
0.9302950287,851.0
0.92792099,851.5
0.9258283997,852.0
0.9244974518,852.5
0.92182724,853.0
0.9212402344,853.5
0.9180977631,854.0
0.9164645386,854.5
0.9160901642,855.0
0.9145856476,855.5
0.9131492615,856.0
0.913392334,856.5
0.9142861938,857.0
0.9125495148,857.5
0.9142418671,858.0
0.9148789978,858.5
0.9135485077,859.0
0.9145667267,859.5
0.9165924072,860.0
0.9174105835,860.5
0.9183060455,861.0
0.9187368011,861.5
0.9220333099,862.0
0.9232868195,862.5
0.9253051758,863.0
0.9273765564,863.5
0.9294087982,864.0
0.9310848999,864.5
0.9352133942,865.0
0.9357644653,865.5
0.9373257446,866.0
0.940177536,866.5
0.9416047668,867.0
0.9445930481,867.5
0.9457896423,868.0
0.948176651,868.5
0.9507711792,869.0
0.9531161499,869.5
0.9549977875,870.0
0.9575786591,870.5
0.9553025055,871.0
0.9577857971,871.5
0.9576036072,872.0
0.9614781189,872.5
0.9617599487,873.0
0.9633193207,873.5
0.9643856049,874.0
0.9608200073,874.5
0.9621842194,875.0
0.9658078766,875.5
0.965973587,876.0
0.9676477051,876.5
0.9659790802,877.0
0.9642068481,877.5
0.9622735596,878.0
0.9628704834,878.5
0.961076355,879.0
0.959881134,879.5
0.960901413,880.0
0.9630931854,880.5
0.9601662445,881.0
0.9594496155,881.5
0.9567783356,882.0
0.960622406,882.5
0.9574385071,883.0
0.9542017365,883.5
0.9535303497,884.0
0.9493077087,884.5
0.9503370667,885.0
0.954334259,885.5
0.9467279816,886.0
0.9499507141,886.5
0.9554237366,887.0
0.9490379333,887.5
0.948246994,888.0
0.9496883392,888.5
0.9446110535,889.0
0.9478637695,889.5
0.9430311584,890.0
0.9467327118,890.5
0.9474219513,891.0
0.946943512,891.5
0.9473181915,892.0
0.9467243195,892.5
0.9491899872,893.0
0.9483644867,893.5
0.9464838409,894.0
0.9464241028,894.5
0.9476074982,895.0
0.9474414063,895.5
0.9463896942,896.0
0.9489591217,896.5
0.9549156189,897.0
0.9520045471,897.5
0.9548681641,898.0
0.9484619904,898.5
0.9506565094,899.0
0.9609938812,899.5
0.9614897156,900.0
0.9619882965,900.5
0.9629013062,901.0
0.9637348938,901.5
0.9645601654,902.0
0.965118866,902.5
0.9657092285,903.0
0.9662609863,903.5
0.9666252136,904.0
0.9674494934,904.5
0.967901535,905.0
0.9682738495,905.5
0.9687398529,906.0
0.9690879822,906.5
0.9691731262,907.0
0.9695663452,907.5
0.9696653748,908.0
0.9699430847,908.5
0.9699632263,909.0
0.9700136566,909.5
0.9699131012,910.0
0.969804306,910.5
0.9696617889,911.0
0.9694509888,911.5
0.9691442108,912.0
0.9688350677,912.5
0.9683584595,913.0
0.9680260468,913.5
0.9674996948,914.0
0.9672053528,914.5
0.9665392303,915.0
0.966065979,915.5
0.9656357574,916.0
0.9648039246,916.5
0.9642259979,917.0
0.9634558868,917.5
0.9627983856,918.0
0.9621035767,918.5
0.961411438,919.0
0.9608356476,919.5
0.9600471497,920.0
0.9592327118,920.5
0.9585487366,921.0
0.9579933929,921.5
0.9572848511,922.0
0.9566764832,922.5
0.9559818268,923.0
0.9554322052,923.5
0.9549223328,924.0
0.9542172241,924.5
0.9538007355,925.0
0.9532741547,925.5
0.9527981567,926.0
0.9524088287,926.5
0.9520746613,927.0
0.9518219757,927.5
0.9512837219,928.0
0.9512381744,928.5
0.9510961151,929.0
0.9509439087,929.5
0.9509259796,930.0
0.950688858,930.5
0.9506989288,931.0
0.9507181549,931.5
0.9508739471,932.0
0.9509534454,932.5
0.9511817169,933.0
0.9513556671,933.5
0.9517305756,934.0
0.951967926,934.5
0.95223526,935.0
0.9526540375,935.5
0.9530995178,936.0
0.9536631775,936.5
0.9539714813,937.0
0.9544688416,937.5
0.954824295,938.0
0.9554396057,938.5
0.956079483,939.0
0.9565458679,939.5
0.9573589325,940.0
0.9579396057,940.5
0.9584649658,941.0
0.9590885925,941.5
0.9597642517,942.0
0.9602296448,942.5
0.9610681152,943.0
0.9616850281,943.5
0.9622238922,944.0
0.9628158569,944.5
