flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
2.9359998722615464e-23,256.8
8.360999355489273e-23,260.0
2.6880000168886117e-22,264.0
9.092000431906612e-22,268.5
3.3429997270373894e-21,273.5
1.1830000168589551e-20,278.5
4.502000016507551e-20,284.0
1.8290000249610654e-19,290.0
6.989000076870632e-19,296.0
2.0680000472970655e-18,301.0
8.937000203830536e-18,308.0
6.482999789794215e-17,318.0
4.2009999652600075e-16,328.0
2.4420001803519434e-15,338.0
1.2940000295155172e-14,348.0
5.804999799258385e-14,357.0
2.247999814160976e-13,366.0
8.079999601737529e-13,375.0
3.1710000099690387e-12,385.0
1.1539999745156345e-11,395.0
3.9950002752349405e-11,405.0
1.155999999643775e-10,414.0
2.868000044946273e-10,422.0
6.827000328333049e-10,430.0
2.186000257748911e-09,441.0
5.940000112987089e-09,451.0
1.4100000285557414e-08,460.0
3.5399998922364734e-08,470.0
8.584000179640688e-08,480.0
2.0130000179810013e-07,490.0
4.5460002055882456e-07,500.0
3.729000236491411e-05,506.0
0.00011170000067324255,512.0
0.00018540000026137613,520.0
0.000338200009182202,530.0
0.0005783000062275259,540.0
0.0010850000751950496,550.0
0.0018650000311347852,560.0
0.0031730000193869487,570.0
0.005090000378883992,580.0
0.008806001128905559,590.0
0.014000001026183205,600.0
0.02253999806423778,610.0
0.03424999767334768,620.0
0.05238000213114037,630.0
0.07679000082926762,640.0
0.11519999682024797,650.0
0.15730000228169758,658.0
0.19889999174979103,665.0
0.28670002416455315,675.0
0.4093000402744117,685.0
0.5822000099389255,695.0
0.7997000174008926,705.0
1.1369999897168994,716.0
1.567999889942048,726.0
2.028000041320329,735.0
2.7479998992630543,745.0
3.657000347434922,755.0
4.8330000852426265,765.0
6.410000120516925,775.0
8.431000292506685,785.0
10.689999670618672,795.0
13.779999641974031,805.0
17.569999278853516,815.0
22.150000330506142,825.0
27.669998084952827,835.0
35.3199994864106,845.0
44.169998606658915,855.0
55.22999911593139,865.0
67.74000027615772,875.0
84.54000199881335,885.0
102.99999969693097,895.0
121.60000355399639,905.0
11600.000295315043,915.0
77769.99643670935,925.0
85530.00185340404,935.0
136799.99700815408,945.0
270600.0141789218,955.0
356300.00817265664,965.0
300300.0272894493,975.0
427499.9953265437,985.0
385400.0070525131,995.0
506800.0414821623,1005.0
683000.0127605215,1015.0
543800.0150238768,1025.0
508000.021363547,1035.0
925699.9623456596,1045.0
1141000.004409866,1055.0
1078999.9737372708,1065.0
1446000.1136352983,1075.0
1427999.9657866687,1085.0
1796999.9483931777,1095.0
4671000.226390821,1105.0
21640000.129900828,1115.0
18369999.778957002,1125.0
38500000.35936398,1135.0
36500000.556236826,1145.0
47380001.023311675,1155.0
56610002.15342532,1165.0
47190001.34344125,1175.0
30469999.411976393,1185.0
962099.9363970342,1195.0
3255000.068084256,1205.0
866600.0026449362,1215.0
8455000.187143719,1225.0
52700000.63318343,1235.0
105700004.05953662,1245.0
124100006.38462523,1255.0
53320001.58864456,1265.0
145000011.3332843,1275.0
197900000.36120564,1285.0
