temperature,gravity,xlin,qlin
3500.0,0.0,1.032,0.1074
3500.0,0.5,1.049,0.1084
3500.0,1.0,1.057,0.1064
3500.0,1.5,1.059,0.1021
3500.0,2.0,1.055,0.0964
3500.0,2.5,1.044,0.0877
3500.0,3.0,0.981,0.0539
3500.0,3.5,0.813,0.033
3500.0,4.0,0.689,0.0866
3500.0,4.5,0.628,0.1094
3500.0,5.0,0.608,0.1144
3750.0,0.0,1.03,0.1115
3750.0,0.5,1.048,0.1125
3750.0,1.0,1.057,0.1104
3750.0,1.5,1.059,0.1072
3750.0,2.0,1.057,0.1032
3750.0,2.5,1.048,0.0976
3750.0,3.0,1.031,0.0889
3750.0,3.5,0.958,0.0537
3750.0,4.0,0.788,0.0316
3750.0,4.5,0.656,0.0871
3750.0,5.0,0.594,0.1096
4000.0,0.0,0.999,0.0944
4000.0,0.5,1.017,0.094
4000.0,1.0,1.028,0.0916
4000.0,1.5,1.035,0.0897
4000.0,2.0,1.037,0.0879
4000.0,2.5,1.035,0.086
4000.0,3.0,1.029,0.0837
4000.0,3.5,1.014,0.0781
4000.0,4.0,0.946,0.0484
4000.0,4.5,0.792,0.0263
4000.0,5.0,0.662,0.0798
4250.0,0.0,0.96,0.076
4250.0,0.5,0.976,0.0732
4250.0,1.0,0.984,0.0688
4250.0,1.5,0.99,0.0658
4250.0,2.0,0.995,0.0641
4250.0,2.5,0.996,0.0629
4250.0,3.0,0.996,0.0626
4250.0,3.5,0.992,0.0618
4250.0,4.0,0.982,0.0592
4250.0,4.5,0.93,0.0384
4250.0,5.0,0.808,0.02
4500.0,0.0,0.924,0.0628
4500.0,0.5,0.937,0.0574
4500.0,1.0,0.942,0.0504
4500.0,1.5,0.945,0.0454
4500.0,2.0,0.947,0.0422
4500.0,2.5,0.949,0.041
4500.0,3.0,0.95,0.0405
4500.0,3.5,0.949,0.0404
4500.0,4.0,0.946,0.04
4500.0,4.5,0.938,0.0386
4500.0,5.0,0.906,0.0264
4750.0,0.0,0.892,0.0537
4750.0,0.5,0.901,0.0453
4750.0,1.0,0.903,0.0365
4750.0,1.5,0.905,0.03
4750.0,2.0,0.904,0.025
4750.0,2.5,0.904,0.0224
4750.0,3.0,0.904,0.021
4750.0,3.5,0.904,0.0207
4750.0,4.0,0.901,0.0203
4750.0,4.5,0.898,0.02
4750.0,5.0,0.892,0.019
5000.0,0.0,0.863,0.0465
5000.0,0.5,0.867,0.0359
5000.0,1.0,0.869,0.0261
5000.0,1.5,0.867,0.0171
5000.0,2.0,0.862,0.0101
5000.0,2.5,0.861,0.0073
5000.0,3.0,0.86,0.0064
5000.0,3.5,0.859,0.0064
5000.0,4.0,0.858,0.0065
5000.0,4.5,0.855,0.0064
5000.0,5.0,0.85,0.0064
5250.0,0.0,0.832,0.0373
5250.0,0.5,0.836,0.0269
5250.0,1.0,0.834,0.0155
5250.0,1.5,0.831,0.0063
5250.0,2.0,0.824,0.0057
5250.0,2.5,0.821,0.0108
5250.0,3.0,0.817,0.0147
5250.0,3.5,0.816,0.0166
5250.0,4.0,0.815,0.0174
5250.0,4.5,0.813,0.0184
5250.0,5.0,0.809,0.0195
5500.0,0.0,0.838,0.042
5500.0,0.5,0.807,0.0169
