flux,wave
0.0,90.9
0.0,93.5
0.0,96.1
0.0,97.7
0.0,99.6
0.0,102.0
0.0,103.8
0.0,105.6
0.0,107.7
0.0,110.4
0.0,114.0
0.0,117.8
0.0,121.3
0.0,124.8
0.0,127.1
0.0,128.4
0.0,130.5
0.0,132.4
0.0,133.9
0.0,136.6
0.0,139.8
0.0,143.3
0.0,147.2
0.0,151.0
0.0,155.2
0.0,158.8
0.0,162.0
0.0,166.0
0.0,170.3
0.0,173.4
0.0,176.8
0.0,180.2
0.0,181.7
0.0,186.1
0.0,191.0
0.0,193.9
0.0,198.4
0.0,201.8
0.0,205.0
0.0,210.5
0.0,216.2
0.0,219.8
0.0,223.0
0.0,226.8
0.0,230.0
0.0,234.0
0.0,240.0
0.0,246.5
0.0,252.4
0.0,256.8
0.0,260.0
0.0,264.0
0.0,268.5
0.0,273.5
0.0,278.5
0.0,284.0
0.0,290.0
0.0,296.0
0.0,301.0
0.0,308.0
0.0,318.0
0.0,328.0
0.0,338.0
0.0,348.0
0.0,357.0
0.0,366.0
0.0,375.0
0.0,385.0
0.0,395.0
0.0,405.0
1.4840000379217775e-24,414.0
6.045000125876876e-24,422.0
2.330000086935026e-23,430.0
1.3689999104313167e-22,441.0
6.324000101115012e-22,451.0
2.3600000203417274e-21,460.0
9.578000384143e-21,470.0
3.6510003029340374e-20,480.0
1.314000124799875e-19,490.0
4.47399990158439e-19,500.0
1.2080000000328774e-18,506.0
2.712999993673077e-18,512.0
6.6310001416711036e-18,520.0
1.9589998465008774e-17,530.0
5.459000142900611e-17,540.0
1.478999929146361e-16,550.0
3.8339999459357095e-16,560.0
9.586000354647923e-16,570.0
2.2899999031762086e-15,580.0
5.415999594206629e-15,590.0
1.2280000731356373e-14,600.0
2.7060000265655e-14,610.0
5.796000101072963e-14,620.0
1.2089999899614468e-13,630.0
2.46099992835297e-13,640.0
4.8919999723514e-13,650.0
8.335000514031565e-13,658.0
1.3120000170263562e-12,665.0
2.4689999762470673e-12,675.0
4.551999900996487e-12,685.0
8.227999719283878e-12,695.0
1.4549999981556453e-11,705.0
2.686999945637581e-11,716.0
4.597000290575242e-11,726.0
7.350999748300781e-11,735.0
1.2200000172288752e-10,745.0
1.9949999918113215e-10,755.0
3.2190002382380775e-10,765.0
5.115999910489822e-10,775.0
8.036000443163991e-10,785.0
1.2340000308568328e-09,795.0
1.89900019780702e-09,805.0
2.8819998447164423e-09,815.0
4.312000025265816e-09,825.0
6.383000145119518e-09,835.0
9.347999530545284e-09,845.0
1.3549999803640062e-08,855.0
1.9460001721254875e-08,865.0
2.762000075944131e-08,875.0
3.900000110097391e-08,885.0
5.4499998407409716e-08,895.0
7.546999676888381e-08,905.0
0.00012990000682671805,915.0
0.0004375000159615917,925.0
0.0006152000182892014,935.0
0.0008589999970586207,945.0
0.0012350000454633523,955.0
0.001699000048354808,965.0
0.002318000123732854,975.0
0.0031450001305061543,985.0
0.004232999989559062,995.0
0.005774999775370509,1005.0
0.007679000051612717,1015.0
0.00966399971395993,1025.0
0.013360000816602309,1035.0
0.017470001104361563,1045.0
0.022720000478869934,1055.0
0.029370000798661304,1065.0
0.03782000224862619,1075.0
0.04844999847105223,1085.0
0.06169000163549372,1095.0
0.14100001094532966,1105.0
0.45590001044323286,1115.0
0.6962000647632256,1125.0
1.031999943324723,1135.0
1.3569999638471852,1145.0
1.5440001079998875,1155.0
2.1289999979898546,1165.0
2.6319998558793727,1175.0
2.833000107566363,1185.0
1.6959999576789697,1195.0
1.623000047805642,1205.0
0.6737000017238917,1215.0
2.0480000172728134,1225.0
4.837999970276955,1235.0
9.477000794108717,1245.0
16.120001738525037,1255.0
16.46999944074712,1265.0
22.65000071534105,1275.0
29.440002246112627,1285.0
35.75000137988387,1295.0
