temperature,gravity,xlin,qlin
3500.0,0.0,0.970,0.0599
3500.0,0.5,0.973,0.0600
3500.0,1.0,0.973,0.0599
3500.0,1.5,0.970,0.0596
3500.0,2.0,0.966,0.0590
3500.0,2.5,0.958,0.0567
3500.0,3.0,0.929,0.0433
3500.0,3.5,0.818,0.0181
3500.0,4.0,0.694,0.0711
3500.0,4.5,0.622,0.0998
3500.0,5.0,0.582,0.1135
3750.0,0.0,0.926,0.0468
3750.0,0.5,0.928,0.0445
3750.0,1.0,0.927,0.0428
3750.0,1.5,0.925,0.0424
3750.0,2.0,0.921,0.0423
3750.0,2.5,0.916,0.0420
3750.0,3.0,0.908,0.0405
3750.0,3.5,0.869,0.0247
3750.0,4.0,0.744,0.0389
3750.0,4.5,0.618,0.0912
3750.0,5.0,0.548,0.1165
4000.0,0.0,0.883,0.0306
4000.0,0.5,0.887,0.0277
4000.0,1.0,0.887,0.0259
4000.0,1.5,0.887,0.0255
4000.0,2.0,0.885,0.0253
4000.0,2.5,0.881,0.0255
4000.0,3.0,0.876,0.0257
4000.0,3.5,0.867,0.0245
4000.0,4.0,0.824,0.0123
4000.0,4.5,0.705,0.0490
4000.0,5.0,0.585,0.0957
4250.0,0.0,0.835,0.0129
4250.0,0.5,0.837,0.0091
4250.0,1.0,0.842,0.0093
4250.0,1.5,0.844,0.0102
4250.0,2.0,0.844,0.0113
4250.0,2.5,0.844,0.0124
4250.0,3.0,0.843,0.0133
4250.0,3.5,0.839,0.0136
4250.0,4.0,0.832,0.0130
4250.0,4.5,0.795,0.0130
4250.0,5.0,0.695,0.0499
4500.0,0.0,0.786,0.0051
4500.0,0.5,0.788,0.0109
4500.0,1.0,0.792,0.0142
4500.0,1.5,0.794,0.0160
4500.0,2.0,0.798,0.0157
4500.0,2.5,0.802,0.0141
4500.0,3.0,0.803,0.0128
4500.0,3.5,0.804,0.0117
4500.0,4.0,0.801,0.0113
4500.0,4.5,0.796,0.0113
4500.0,5.0,0.770,0.0184
4750.0,0.0,0.742,0.0157
4750.0,0.5,0.747,0.0213
4750.0,1.0,0.746,0.0274
4750.0,1.5,0.748,0.0297
4750.0,2.0,0.751,0.0302
4750.0,2.5,0.755,0.0293
4750.0,3.0,0.758,0.0273
4750.0,3.5,0.762,0.0246
4750.0,4.0,0.763,0.0229
4750.0,4.5,0.763,0.0211
4750.0,5.0,0.760,0.0207
5000.0,0.0,0.699,0.0264
5000.0,0.5,0.700,0.0341
5000.0,1.0,0.701,0.0394
5000.0,1.5,0.706,0.0413
5000.0,2.0,0.706,0.0437
5000.0,2.5,0.709,0.0435
5000.0,3.0,0.713,0.0423
5000.0,3.5,0.717,0.0402
5000.0,4.0,0.721,0.0380
5000.0,4.5,0.724,0.0356
5000.0,5.0,0.724,0.0344
5250.0,0.0,0.658,0.0372
5250.0,0.5,0.661,0.0436
5250.0,1.0,0.661,0.0495
5250.0,1.5,0.666,0.0521
5250.0,2.0,0.665,0.0547
5250.0,2.5,0.668,0.0554
5250.0,3.0,0.669,0.0554
5250.0,3.5,0.674,0.0539
5250.0,4.0,0.679,0.0515
5250.0,4.5,0.682,0.0501
5250.0,5.0,0.684,0.0490
5500.0,0.0,0.664,0.0275
5500.0,0.5,0.626,0.0520
5500.0,1.0,0.626,0.0568
5500.0,1.5,0.625,0.0618
5500.0,2.0,0.628,0.0637
5500.0,2.5,0.628,0.0659
5500.0,3.0,0.630,0.0664
5500.0,3.5,0.634,0.0651
5500.0,4.0,0.639,0.0633
5500.0,4.5,0.642,0.0625
5500.0,5.0,0.644,0.0622
5750.0,0.0,0.682,0.0191
5750.0,0.5,0.650,0.0357
5750.0,1.0,0.597,0.0647
5750.0,1.5,0.598,0.0670
5750.0,2.0,0.596,0.0706
5750.0,2.5,0.595,0.0734
5750.0,3.0,0.596,0.0747
5750.0,3.5,0.599,0.0744
5750.0,4.0,0.602,0.0737
5750.0,4.5,0.606,0.0725
5750.0,5.0,0.606,0.0728
6000.0,0.0,0.677,0.0218
6000.0,0.5,0.665,0.0307
6000.0,1.0,0.641,0.0415
6000.0,1.5,0.570,0.0749
6000.0,2.0,0.570,0.0765
6000.0,2.5,0.569,0.0785
6000.0,3.0,0.568,0.0802
6000.0,3.5,0.568,0.0812
6000.0,4.0,0.570,0.0811
6000.0,4.5,0.573,0.0806
6000.0,5.0,0.572,0.0814
6250.0,0.5,0.661,0.0332
6250.0,1.0,0.645,0.0416
6250.0,1.5,0.608,0.0545
6250.0,2.0,0.548,0.0818
6250.0,2.5,0.547,0.0831
6250.0,3.0,0.546,0.0842
6250.0,3.5,0.544,0.0855
