temperature,gravity,xlin,qlin
3500.0,0.0,0.482,0.0673
3500.0,0.5,0.475,0.0673
3500.0,1.0,0.468,0.0677
3500.0,1.5,0.461,0.0685
3500.0,2.0,0.455,0.0695
3500.0,2.5,0.449,0.0712
3500.0,3.0,0.436,0.0742
3500.0,3.5,0.386,0.0828
3500.0,4.0,0.321,0.0938
3500.0,4.5,0.286,0.0997
3500.0,5.0,0.270,0.1022
3750.0,0.0,0.511,0.0654
3750.0,0.5,0.510,0.0633
3750.0,1.0,0.508,0.0616
3750.0,1.5,0.505,0.0599
3750.0,2.0,0.501,0.0590
3750.0,2.5,0.497,0.0586
3750.0,3.0,0.491,0.0590
3750.0,3.5,0.472,0.0634
3750.0,4.0,0.412,0.0780
3750.0,4.5,0.341,0.0939
3750.0,5.0,0.298,0.1021
4000.0,0.0,0.519,0.0654
4000.0,0.5,0.521,0.0635
4000.0,1.0,0.522,0.0619
4000.0,1.5,0.523,0.0599
4000.0,2.0,0.523,0.0583
4000.0,2.5,0.522,0.0567
4000.0,3.0,0.520,0.0553
4000.0,3.5,0.515,0.0550
4000.0,4.0,0.493,0.0605
4000.0,4.5,0.428,0.0780
4000.0,5.0,0.355,0.0955
4250.0,0.0,0.518,0.0640
4250.0,0.5,0.521,0.0629
4250.0,1.0,0.525,0.0609
4250.0,1.5,0.527,0.0592
4250.0,2.0,0.529,0.0576
4250.0,2.5,0.531,0.0560
4250.0,3.0,0.531,0.0547
4250.0,3.5,0.530,0.0539
4250.0,4.0,0.526,0.0539
4250.0,4.5,0.505,0.0597
4250.0,5.0,0.445,0.0768
4500.0,0.0,0.512,0.0625
4500.0,0.5,0.517,0.0619
4500.0,1.0,0.521,0.0607
4500.0,1.5,0.525,0.0593
4500.0,2.0,0.529,0.0575
4500.0,2.5,0.533,0.0554
4500.0,3.0,0.535,0.0538
4500.0,3.5,0.536,0.0526
4500.0,4.0,0.534,0.0522
4500.0,4.5,0.531,0.0525
4500.0,5.0,0.514,0.0579
4750.0,0.0,0.505,0.0621
4750.0,0.5,0.512,0.0608
4750.0,1.0,0.515,0.0609
4750.0,1.5,0.520,0.0599
4750.0,2.0,0.525,0.0586
4750.0,2.5,0.529,0.0570
4750.0,3.0,0.532,0.0553
4750.0,3.5,0.535,0.0536
4750.0,4.0,0.536,0.0528
4750.0,4.5,0.535,0.0523
4750.0,5.0,0.532,0.0528
5000.0,0.0,0.494,0.0624
5000.0,0.5,0.500,0.0627
5000.0,1.0,0.506,0.0624
5000.0,1.5,0.513,0.0612
5000.0,2.0,0.516,0.0608
5000.0,2.5,0.521,0.0596
5000.0,3.0,0.526,0.0582
5000.0,3.5,0.530,0.0566
5000.0,4.0,0.532,0.0554
5000.0,4.5,0.533,0.0545
5000.0,5.0,0.532,0.0547
5250.0,0.0,0.484,0.0625
5250.0,0.5,0.490,0.0629
5250.0,1.0,0.495,0.0638
5250.0,1.5,0.503,0.0633
