temperature,gravity,xlog,ylog,qlog
3500.0,0.0,0.813,-0.235,0.0296
3500.0,0.5,0.815,-0.236,0.0297
3500.0,1.0,0.815,-0.237,0.0299
3500.0,1.5,0.812,-0.237,0.0297
3500.0,2.0,0.809,-0.235,0.0294
3500.0,2.5,0.807,-0.226,0.0286
3500.0,3.0,0.813,-0.175,0.0247
3500.0,3.5,0.837,0.029,0.0121
3500.0,4.0,0.844,0.226,0.0049
3500.0,4.5,0.836,0.320,0.0033
3500.0,5.0,0.823,0.362,0.0039
3750.0,0.0,0.807,-0.177,0.0194
3750.0,0.5,0.815,-0.170,0.0202
3750.0,1.0,0.817,-0.164,0.0210
3750.0,1.5,0.816,-0.163,0.0216
3750.0,2.0,0.812,-0.164,0.0220
3750.0,2.5,0.808,-0.163,0.0220
3750.0,3.0,0.803,-0.158,0.0217
3750.0,3.5,0.805,-0.096,0.0184
3750.0,4.0,0.815,0.107,0.0102
3750.0,4.5,0.807,0.284,0.0072
3750.0,5.0,0.789,0.362,0.0086
4000.0,0.0,0.808,-0.113,0.0110
4000.0,0.5,0.817,-0.104,0.0126
4000.0,1.0,0.822,-0.098,0.0142
4000.0,1.5,0.823,-0.097,0.0156
4000.0,2.0,0.821,-0.096,0.0164
4000.0,2.5,0.816,-0.097,0.0168
4000.0,3.0,0.811,-0.098,0.0168
4000.0,3.5,0.805,-0.093,0.0164
4000.0,4.0,0.802,-0.034,0.0143
4000.0,4.5,0.796,0.138,0.0111
4000.0,5.0,0.778,0.289,0.0115
4250.0,0.0,0.803,-0.048,0.0063
4250.0,0.5,0.816,-0.032,0.0074
4250.0,1.0,0.822,-0.029,0.0092
4250.0,1.5,0.824,-0.029,0.0107
4250.0,2.0,0.823,-0.031,0.0120
4250.0,2.5,0.820,-0.036,0.0129
4250.0,3.0,0.815,-0.041,0.0136
4250.0,3.5,0.810,-0.043,0.0137
4250.0,4.0,0.805,-0.040,0.0133
4250.0,4.5,0.800,0.007,0.0122
4250.0,5.0,0.788,0.139,0.0115
4500.0,0.0,0.790,0.006,0.0042
4500.0,0.5,0.805,0.026,0.0052
4500.0,1.0,0.814,0.034,0.0067
4500.0,1.5,0.820,0.038,0.0077
4500.0,2.0,0.821,0.035,0.0087
4500.0,2.5,0.819,0.026,0.0094
4500.0,3.0,0.815,0.018,0.0100
4500.0,3.5,0.811,0.011,0.0104
4500.0,4.0,0.806,0.008,0.0105
4500.0,4.5,0.802,0.008,0.0104
4500.0,5.0,0.797,0.040,0.0097
4750.0,0.0,0.774,0.048,0.0022
4750.0,0.5,0.790,0.065,0.0037
4750.0,1.0,0.801,0.083,0.0052
4750.0,1.5,0.807,0.088,0.0064
4750.0,2.0,0.811,0.090,0.0071
4750.0,2.5,0.812,0.086,0.0074
4750.0,3.0,0.811,0.080,0.0076
4750.0,3.5,0.809,0.070,0.0078
4750.0,4.0,0.806,0.064,0.0078
4750.0,4.5,0.801,0.058,0.0079
4750.0,5.0,0.798,0.057,0.0078
5000.0,0.0,0.756,0.085,0.0007
5000.0,0.5,0.772,0.108,0.0023
5000.0,1.0,0.783,0.123,0.0039
5000.0,1.5,0.792,0.129,0.0050
5000.0,2.0,0.797,0.137,0.0057
5000.0,2.5,0.800,0.136,0.0061
5000.0,3.0,0.801,0.133,0.0063
5000.0,3.5,0.801,0.126,0.0064
5000.0,4.0,0.800,0.119,0.0064
5000.0,4.5,0.799,0.112,0.0063
5000.0,5.0,0.796,0.109,0.0062
5250.0,0.0,0.738,0.120,0.0013
5250.0,0.5,0.753,0.138,0.0022
5250.0,1.0,0.764,0.154,0.0037
5250.0,1.5,0.775,0.164,0.0041
5250.0,2.0,0.780,0.172,0.0048
5250.0,2.5,0.785,0.176,0.0050
5250.0,3.0,0.788,0.177,0.0052
5250.0,3.5,0.789,0.173,0.0054
5250.0,4.0,0.790,0.166,0.0055
5250.0,4.5,0.790,0.162,0.0055
5250.0,5.0,0.790,0.159,0.0053
5500.0,0.0,0.718,0.082,0.0039
5500.0,0.5,0.735,0.163,0.0030
5500.0,1.0,0.743,0.174,0.0051
5500.0,1.5,0.751,0.189,0.0058
5500.0,2.0,0.760,0.198,0.0053
5500.0,2.5,0.766,0.207,0.0049
5500.0,3.0,0.771,0.211,0.0047
5500.0,3.5,0.774,0.209,0.0047
5500.0,4.0,0.776,0.205,0.0048
5500.0,4.5,0.777,0.203,0.0049
5500.0,5.0,0.779,0.203,0.0048
5750.0,0.0,0.723,0.062,0.0015
5750.0,0.5,0.719,0.104,0.0062
5750.0,1.0,0.729,0.198,0.0058
5750.0,1.5,0.735,0.204,0.0066
5750.0,2.0,0.739,0.216,0.0071
5750.0,2.5,0.746,0.227,0.0061
5750.0,3.0,0.752,0.235,0.0052
5750.0,3.5,0.757,0.237,0.0046
5750.0,4.0,0.759,0.236,0.0045
5750.0,4.5,0.762,0.234,0.0044
5750.0,5.0,0.764,0.236,0.0044
6000.0,0.0,0.728,0.076,0.0020
6000.0,0.5,0.730,0.099,0.0026
6000.0,1.0,0.721,0.120,0.0078
6000.0,1.5,0.721,0.227,0.0081
6000.0,2.0,0.724,0.232,0.0083
6000.0,2.5,0.729,0.240,0.0077
6000.0,3.0,0.733,0.248,0.0067
6000.0,3.5,0.737,0.254,0.0057
6000.0,4.0,0.742,0.257,0.0048
6000.0,4.5,0.744,0.257,0.0045
6000.0,5.0,0.747,0.261,0.0043
6250.0,0.5,0.736,0.113,0.0021
6250.0,1.0,0.733,0.133,0.0038
6250.0,1.5,0.715,0.159,0.0098
6250.0,2.0,0.711,0.246,0.0098
6250.0,2.5,0.714,0.251,0.0093
6250.0,3.0,0.716,0.256,0.0085
6250.0,3.5,0.720,0.264,0.0071
6250.0,4.0,0.724,0.269,0.0059
6250.0,4.5,0.727,0.272,0.0052
6250.0,5.0,0.728,0.276,0.0049
6500.0,0.5,0.734,0.118,0.0025
6500.0,1.0,0.741,0.146,0.0025
6500.0,1.5,0.730,0.164,0.0051
6500.0,2.0,0.706,0.190,0.0111
6500.0,2.5,0.704,0.263,0.0103
6500.0,3.0,0.705,0.267,0.0095
6500.0,3.5,0.707,0.271,0.0081
6500.0,4.0,0.708,0.274,0.0071
6500.0,4.5,0.710,0.278,0.0063
6500.0,5.0,0.710,0.283,0.0060
6750.0,0.5,0.731,0.143,0.0033
6750.0,1.0,0.739,0.151,0.0024
6750.0,1.5,0.742,0.179,0.0028
6750.0,2.0,0.725,0.193,0.0057
6750.0,2.5,0.697,0.215,0.0121
6750.0,3.0,0.697,0.277,0.0099
6750.0,3.5,0.697,0.279,0.0089
6750.0,4.0,0.697,0.281,0.0079
6750.0,4.5,0.697,0.283,0.0072
6750.0,5.0,0.696,0.288,0.0067
7000.0,0.5,0.725,0.167,0.0043
7000.0,1.0,0.736,0.177,0.0025
7000.0,1.5,0.741,0.183,0.0025
7000.0,2.0,0.738,0.208,0.0030
7000.0,2.5,0.718,0.220,0.0062
7000.0,3.0,0.691,0.253,0.0112
7000.0,3.5,0.691,0.289,0.0091
7000.0,4.0,0.689,0.289,0.0084
7000.0,4.5,0.687,0.289,0.0079
7000.0,5.0,0.686,0.292,0.0071
7250.0,0.5,0.714,0.186,0.0048
7250.0,1.0,0.728,0.202,0.0026
7250.0,1.5,0.736,0.207,0.0018
7250.0,2.0,0.738,0.210,0.0025
7250.0,2.5,0.732,0.234,0.0030
7250.0,3.0,0.707,0.245,0.0068
7250.0,3.5,0.684,0.280,0.0105
7250.0,4.0,0.681,0.297,0.0094
7250.0,4.5,0.679,0.297,0.0085
7250.0,5.0,0.678,0.298,0.0075
7500.0,0.5,0.696,0.206,0.0046
7500.0,1.0,0.715,0.219,0.0024
7500.0,1.5,0.725,0.232,0.0007
7500.0,2.0,0.730,0.232,0.0018
7500.0,2.5,0.730,0.233,0.0027
7500.0,3.0,0.721,0.256,0.0031
7500.0,3.5,0.694,0.270,0.0075
7500.0,4.0,0.672,0.300,0.0106
7500.0,4.5,0.674,0.306,0.0087
7500.0,5.0,0.671,0.306,0.0080
7750.0,1.0,0.699,0.229,0.0022
7750.0,1.5,0.711,0.246,0.0006
7750.0,2.0,0.717,0.254,0.0021
7750.0,2.5,0.719,0.252,0.0029
7750.0,3.0,0.719,0.254,0.0030
7750.0,3.5,0.709,0.278,0.0035
7750.0,4.0,0.679,0.292,0.0086
7750.0,4.5,0.670,0.315,0.0088
7750.0,5.0,0.666,0.314,0.0082
8000.0,1.0,0.681,0.231,0.0018
8000.0,1.5,0.694,0.252,0.0013
8000.0,2.0,0.701,0.264,0.0032
8000.0,2.5,0.704,0.268,0.0041
8000.0,3.0,0.706,0.265,0.0042
8000.0,3.5,0.706,0.270,0.0035
8000.0,4.0,0.693,0.295,0.0046
8000.0,4.5,0.668,0.316,0.0086
8000.0,5.0,0.660,0.323,0.0086
8250.0,1.0,0.661,0.225,0.0013
8250.0,1.5,0.679,0.254,0.0017
8250.0,2.0,0.684,0.268,0.0038
8250.0,2.5,0.687,0.275,0.0052
8250.0,3.0,0.690,0.276,0.0056
8250.0,3.5,0.691,0.272,0.0053
8250.0,4.0,0.692,0.284,0.0041
8250.0,4.5,0.677,0.313,0.0056
8250.0,5.0,0.651,0.326,0.0098
8500.0,1.5,0.666,0.254,0.0019
8500.0,2.0,0.670,0.270,0.0041
8500.0,2.5,0.672,0.278,0.0059
8500.0,3.0,0.673,0.281,0.0067
8500.0,3.5,0.674,0.280,0.0066
8500.0,4.0,0.675,0.276,0.0060
8500.0,4.5,0.676,0.299,0.0047
8500.0,5.0,0.660,0.328,0.0066
8750.0,1.5,0.658,0.270,0.0039
8750.0,2.0,0.659,0.272,0.0043
8750.0,2.5,0.659,0.280,0.0063
8750.0,3.0,0.658,0.284,0.0074
8750.0,3.5,0.658,0.283,0.0076
8750.0,4.0,0.659,0.281,0.0072
8750.0,4.5,0.661,0.281,0.0063
8750.0,5.0,0.660,0.315,0.0053
9000.0,1.5,0.645,0.250,0.0023
9000.0,2.0,0.649,0.273,0.0045
9000.0,2.5,0.648,0.283,0.0066
9000.0,3.0,0.646,0.286,0.0079
9000.0,3.5,0.645,0.286,0.0083
9000.0,4.0,0.645,0.284,0.0081
9000.0,4.5,0.645,0.280,0.0076
9000.0,5.0,0.647,0.274,0.0069
9250.0,2.0,0.640,0.273,0.0048
9250.0,2.5,0.639,0.284,0.0070
9250.0,3.0,0.636,0.287,0.0084
9250.0,3.5,0.634,0.288,0.0089
9250.0,4.0,0.633,0.287,0.0089
9250.0,4.5,0.632,0.285,0.0084
9250.0,5.0,0.633,0.279,0.0078
9500.0,2.0,0.632,0.274,0.0050
9500.0,2.5,0.630,0.285,0.0072
9500.0,3.0,0.627,0.289,0.0087
9500.0,3.5,0.624,0.289,0.0095
9500.0,4.0,0.622,0.289,0.0095
9500.0,4.5,0.621,0.287,0.0092
9500.0,5.0,0.621,0.283,0.0086
9750.0,2.0,0.624,0.273,0.0053
9750.0,2.5,0.622,0.286,0.0075
9750.0,3.0,0.619,0.290,0.0091
9750.0,3.5,0.616,0.290,0.0099
9750.0,4.0,0.613,0.290,0.0102
9750.0,4.5,0.612,0.289,0.0099
9750.0,5.0,0.611,0.286,0.0094
10000.0,2.0,0.617,0.273,0.0057
10000.0,2.5,0.614,0.286,0.0078
10000.0,3.0,0.611,0.291,0.0093
10000.0,3.5,0.607,0.291,0.0102
10000.0,4.0,0.605,0.290,0.0106
10000.0,4.5,0.603,0.289,0.0106
10000.0,5.0,0.602,0.287,0.0102
10250.0,2.0,0.609,0.272,0.0062
10250.0,2.5,0.606,0.285,0.0082
10250.0,3.0,0.602,0.290,0.0096
10250.0,3.5,0.599,0.292,0.0105
10250.0,4.0,0.597,0.291,0.0110
10250.0,4.5,0.595,0.290,0.0111
10250.0,5.0,0.594,0.288,0.0108
10500.0,2.0,0.603,0.271,0.0067
10500.0,2.5,0.597,0.284,0.0087
10500.0,3.0,0.594,0.290,0.0100
10500.0,3.5,0.591,0.291,0.0108
10500.0,4.0,0.588,0.290,0.0113
10500.0,4.5,0.586,0.290,0.0115
10500.0,5.0,0.585,0.289,0.0113
10750.0,2.0,0.597,0.270,0.0071
10750.0,2.5,0.589,0.283,0.0092
10750.0,3.0,0.585,0.288,0.0104
10750.0,3.5,0.583,0.290,0.0111
10750.0,4.0,0.581,0.290,0.0115
10750.0,4.5,0.579,0.289,0.0118
10750.0,5.0,0.578,0.289,0.0117
11000.0,2.0,0.592,0.269,0.0075
11000.0,2.5,0.582,0.281,0.0096
11000.0,3.0,0.577,0.286,0.0108
11000.0,3.5,0.575,0.289,0.0114
11000.0,4.0,0.573,0.288,0.0118
11000.0,4.5,0.571,0.288,0.0120
11000.0,5.0,0.570,0.288,0.0120
11250.0,2.0,0.588,0.268,0.0079
11250.0,2.5,0.575,0.279,0.0100
11250.0,3.0,0.569,0.284,0.0112
11250.0,3.5,0.566,0.287,0.0117
11250.0,4.0,0.565,0.287,0.0120
11250.0,4.5,0.564,0.287,0.0122
11250.0,5.0,0.563,0.287,0.0123
