temperature,gravity,xlog,ylog,qlog
3500.0,0.0,0.606,0.185,0.0171
3500.0,0.5,0.598,0.184,0.0175
3500.0,1.0,0.591,0.185,0.0178
3500.0,1.5,0.585,0.187,0.0179
3500.0,2.0,0.582,0.190,0.0180
3500.0,2.5,0.579,0.195,0.0181
3500.0,3.0,0.573,0.205,0.0184
3500.0,3.5,0.541,0.232,0.0192
3500.0,4.0,0.499,0.266,0.0205
3500.0,4.5,0.475,0.283,0.0215
3500.0,5.0,0.463,0.290,0.0221
3750.0,0.0,0.633,0.182,0.0160
3750.0,0.5,0.627,0.175,0.0160
3750.0,1.0,0.621,0.169,0.0160
3750.0,1.5,0.614,0.164,0.0160
3750.0,2.0,0.608,0.160,0.0160
3750.0,2.5,0.603,0.159,0.0160
3750.0,3.0,0.598,0.160,0.0160
3750.0,3.5,0.589,0.175,0.0160
3750.0,4.0,0.560,0.222,0.0164
3750.0,4.5,0.521,0.271,0.0180
3750.0,5.0,0.494,0.294,0.0198
4000.0,0.0,0.641,0.182,0.0160
4000.0,0.5,0.638,0.176,0.0160
4000.0,1.0,0.636,0.171,0.0159
4000.0,1.5,0.633,0.165,0.0156
4000.0,2.0,0.630,0.160,0.0152
4000.0,2.5,0.626,0.156,0.0147
4000.0,3.0,0.621,0.152,0.0143
4000.0,3.5,0.617,0.152,0.0139
4000.0,4.0,0.606,0.170,0.0138
4000.0,4.5,0.578,0.225,0.0151
4000.0,5.0,0.539,0.276,0.0179
4250.0,0.0,0.638,0.180,0.0148
4250.0,0.5,0.639,0.177,0.0148
4250.0,1.0,0.639,0.171,0.0148
4250.0,1.5,0.638,0.165,0.0147
4250.0,2.0,0.636,0.160,0.0145
4250.0,2.5,0.634,0.156,0.0143
4250.0,3.0,0.632,0.152,0.0139
4250.0,3.5,0.630,0.150,0.0135
4250.0,4.0,0.627,0.151,0.0130
4250.0,4.5,0.618,0.170,0.0128
4250.0,5.0,0.592,0.221,0.0147
4500.0,0.0,0.631,0.179,0.0131
4500.0,0.5,0.635,0.177,0.0132
4500.0,1.0,0.637,0.173,0.0133
4500.0,1.5,0.638,0.169,0.0131
4500.0,2.0,0.638,0.164,0.0129
4500.0,2.5,0.638,0.157,0.0127
4500.0,3.0,0.637,0.153,0.0124
4500.0,3.5,0.635,0.149,0.0122
4500.0,4.0,0.633,0.149,0.0119
4500.0,4.5,0.631,0.150,0.0115
4500.0,5.0,0.626,0.168,0.0114
4750.0,0.0,0.625,0.180,0.0116
4750.0,0.5,0.630,0.177,0.0116
