temperature,gravity,xsqrt,ysqrt,qsqrt
3500.0,0.0,1.323,-0.588,0.0409
3500.0,0.5,1.328,-0.591,0.0411
3500.0,1.0,1.328,-0.593,0.0412
3500.0,1.5,1.325,-0.591,0.0411
3500.0,2.0,1.318,-0.587,0.0406
3500.0,2.5,1.297,-0.566,0.0394
3500.0,3.0,1.191,-0.436,0.0331
3500.0,3.5,0.774,0.073,0.0107
3500.0,4.0,0.355,0.565,0.0068
3500.0,4.5,0.142,0.801,0.0126
3500.0,5.0,0.039,0.905,0.0138
3750.0,0.0,1.191,-0.443,0.0279
3750.0,0.5,1.183,-0.425,0.0283
3750.0,1.0,1.173,-0.411,0.0289
3750.0,1.5,1.170,-0.408,0.0295
3750.0,2.0,1.167,-0.409,0.0299
3750.0,2.5,1.161,-0.408,0.0299
3750.0,3.0,1.145,-0.394,0.0293
3750.0,3.5,1.013,-0.240,0.0230
3750.0,4.0,0.583,0.268,0.0051
3750.0,4.5,0.192,0.710,0.0067
3750.0,5.0,0.005,0.905,0.0090
4000.0,0.0,1.052,-0.282,0.0164
4000.0,0.5,1.042,-0.260,0.0176
4000.0,1.0,1.034,-0.245,0.0189
4000.0,1.5,1.032,-0.242,0.0203
4000.0,2.0,1.029,-0.240,0.0211
4000.0,2.5,1.027,-0.243,0.0215
4000.0,3.0,1.023,-0.245,0.0215
4000.0,3.5,1.007,-0.233,0.0209
4000.0,4.0,0.875,-0.085,0.0160
4000.0,4.5,0.498,0.344,0.0045
4000.0,5.0,0.152,0.723,0.0026
4250.0,0.0,0.907,-0.120,0.0086
4250.0,0.5,0.885,-0.080,0.0089
4250.0,1.0,0.885,-0.073,0.0106
4250.0,1.5,0.887,-0.072,0.0121
4250.0,2.0,0.891,-0.078,0.0135
4250.0,2.5,0.899,-0.091,0.0147
4250.0,3.0,0.904,-0.102,0.0155
4250.0,3.5,0.904,-0.108,0.0158
4250.0,4.0,0.891,-0.099,0.0152
4250.0,4.5,0.784,0.017,0.0118
4250.0,5.0,0.486,0.349,0.0048
4500.0,0.0,0.776,0.015,0.0039
4500.0,0.5,0.750,0.064,0.0040
4500.0,1.0,0.741,0.084,0.0052
4500.0,1.5,0.737,0.095,0.0060
4500.0,2.0,0.746,0.086,0.0071
4500.0,2.5,0.763,0.065,0.0082
4500.0,3.0,0.777,0.045,0.0091
4500.0,3.5,0.787,0.027,0.0099
4500.0,4.0,0.789,0.020,0.0101
4500.0,4.5,0.784,0.020,0.0100
4500.0,5.0,0.709,0.101,0.0078
4750.0,0.0,0.669,0.121,0.0008
4750.0,0.5,0.650,0.162,0.0015
4750.0,1.0,0.622,0.206,0.0021
4750.0,1.5,0.616,0.221,0.0030
4750.0,2.0,0.617,0.224,0.0037
4750.0,2.5,0.625,0.216,0.0042
4750.0,3.0,0.639,0.199,0.0046
4750.0,3.5,0.658,0.174,0.0051
4750.0,4.0,0.667,0.160,0.0053
4750.0,4.5,0.676,0.144,0.0056
4750.0,5.0,0.674,0.142,0.0055
5000.0,0.0,0.571,0.213,0.0035
5000.0,0.5,0.539,0.269,0.0030
5000.0,1.0,0.517,0.307,0.0026
5000.0,1.5,0.512,0.323,0.0030
5000.0,2.0,0.501,0.342,0.0034
5000.0,2.5,0.505,0.341,0.0039
5000.0,3.0,0.513,0.333,0.0041
5000.0,3.5,0.528,0.316,0.0041
5000.0,4.0,0.542,0.298,0.0041
5000.0,4.5,0.557,0.279,0.0041
5000.0,5.0,0.561,0.271,0.0042
5250.0,0.0,0.479,0.299,0.0058
5250.0,0.5,0.455,0.344,0.0047
5250.0,1.0,0.430,0.385,0.0038
5250.0,1.5,0.420,0.409,0.0043
5250.0,2.0,0.407,0.430,0.0045
5250.0,2.5,0.403,0.440,0.0053
5250.0,3.0,0.403,0.443,0.0058
5250.0,3.5,0.414,0.433,0.0060
5250.0,4.0,0.430,0.415,0.0059
5250.0,4.5,0.440,0.404,0.0059
5250.0,5.0,0.446,0.397,0.0061
5500.0,0.0,0.541,0.205,0.0023
5500.0,0.5,0.382,0.407,0.0056
5500.0,1.0,0.365,0.436,0.0038
5500.0,1.5,0.341,0.474,0.0037
5500.0,2.0,0.331,0.495,0.0045
5500.0,2.5,0.317,0.518,0.0057
5500.0,3.0,0.313,0.529,0.0068
5500.0,3.5,0.320,0.524,0.0075
5500.0,4.0,0.332,0.512,0.0077
5500.0,4.5,0.338,0.507,0.0078
5500.0,5.0,0.340,0.506,0.0081
5750.0,0.0,0.590,0.154,0.0023
5750.0,0.5,0.493,0.260,0.0021
5750.0,1.0,0.299,0.496,0.0047
5750.0,1.5,0.292,0.511,0.0038
5750.0,2.0,0.272,0.539,0.0037
5750.0,2.5,0.254,0.568,0.0052
5750.0,3.0,0.244,0.586,0.0067
