temperature,gravity,xsqrt,ysqrt,qsqrt
3500.0,0.0,0.204,0.463,0.0082
3500.0,0.5,0.199,0.460,0.0087
3500.0,1.0,0.191,0.462,0.0089
3500.0,1.5,0.181,0.467,0.0089
3500.0,2.0,0.169,0.476,0.0088
3500.0,2.5,0.156,0.489,0.0087
3500.0,3.0,0.128,0.513,0.0085
3500.0,3.5,0.038,0.580,0.0080
3500.0,4.0,-0.077,0.665,0.0078
3500.0,4.5,-0.138,0.707,0.0079
3500.0,5.0,-0.165,0.724,0.0082
3750.0,0.0,0.239,0.454,0.0073
3750.0,0.5,0.248,0.437,0.0077
3750.0,1.0,0.254,0.423,0.0079
3750.0,1.5,0.260,0.409,0.0082
3750.0,2.0,0.261,0.401,0.0083
3750.0,2.5,0.258,0.397,0.0084
3750.0,3.0,0.250,0.401,0.0083
3750.0,3.5,0.209,0.438,0.0076
3750.0,4.0,0.078,0.556,0.0057
3750.0,4.5,-0.066,0.677,0.0050
3750.0,5.0,-0.143,0.734,0.0057
4000.0,0.0,0.245,0.456,0.0073
4000.0,0.5,0.257,0.440,0.0076
4000.0,1.0,0.266,0.427,0.0077
4000.0,1.5,0.275,0.413,0.0077
4000.0,2.0,0.282,0.401,0.0075
4000.0,2.5,0.288,0.390,0.0073
4000.0,3.0,0.291,0.381,0.0070
4000.0,3.5,0.287,0.380,0.0066
4000.0,4.0,0.237,0.426,0.0056
4000.0,4.5,0.091,0.562,0.0043
4000.0,5.0,-0.059,0.690,0.0046
4250.0,0.0,0.247,0.451,0.0062
4250.0,0.5,0.255,0.442,0.0064
4250.0,1.0,0.269,0.426,0.0067
4250.0,1.5,0.280,0.413,0.0069
4250.0,2.0,0.289,0.400,0.0069
4250.0,2.5,0.297,0.389,0.0069
4250.0,3.0,0.303,0.380,0.0067
4250.0,3.5,0.305,0.375,0.0064
4250.0,4.0,0.300,0.378,0.0058
4250.0,4.5,0.249,0.426,0.0047
4250.0,5.0,0.113,0.553,0.0041
4500.0,0.0,0.243,0.448,0.0045
4500.0,0.5,0.251,0.443,0.0048
4500.0,1.0,0.261,0.433,0.0051
4500.0,1.5,0.271,0.423,0.0052
4500.0,2.0,0.283,0.410,0.0052
4500.0,2.5,0.296,0.394,0.0053
4500.0,3.0,0.306,0.381,0.0053
4500.0,3.5,0.312,0.373,0.0052
4500.0,4.0,0.311,0.371,0.0049
4500.0,4.5,0.306,0.376,0.0045
4500.0,5.0,0.262,0.419,0.0035
4750.0,0.0,0.234,0.451,0.0030
4750.0,0.5,0.247,0.442,0.0033
4750.0,1.0,0.249,0.443,0.0035
4750.0,1.5,0.259,0.435,0.0038
4750.0,2.0,0.269,0.426,0.0038
4750.0,2.5,0.280,0.415,0.0038
4750.0,3.0,0.290,0.403,0.0037
4750.0,3.5,0.301,0.390,0.0037
4750.0,4.0,0.304,0.386,0.0035
4750.0,4.5,0.305,0.383,0.0033
4750.0,5.0,0.298,0.389,0.0029
5000.0,0.0,0.222,0.454,0.0025
5000.0,0.5,0.225,0.459,0.0022
5000.0,1.0,0.230,0.459,0.0022
5000.0,1.5,0.241,0.453,0.0023
5000.0,2.0,0.245,0.452,0.0024
5000.0,2.5,0.255,0.444,0.0026
5000.0,3.0,0.265,0.434,0.0027
5000.0,3.5,0.276,0.423,0.0027
5000.0,4.0,0.284,0.414,0.0026
5000.0,4.5,0.289,0.408,0.0025
5000.0,5.0,0.285,0.412,0.0024
5250.0,0.0,0.212,0.453,0.0024
5250.0,0.5,0.214,0.460,0.0019
5250.0,1.0,0.213,0.469,0.0015
5250.0,1.5,0.220,0.472,0.0013
5250.0,2.0,0.221,0.476,0.0016
5250.0,2.5,0.227,0.474,0.0021
5250.0,3.0,0.233,0.471,0.0024
5250.0,3.5,0.244,0.461,0.0026
5250.0,4.0,0.256,0.448,0.0026
5250.0,4.5,0.261,0.444,0.0026
5250.0,5.0,0.260,0.445,0.0027
5500.0,0.0,0.299,0.344,0.0055
5500.0,0.5,0.204,0.463,0.0015
5500.0,1.0,0.204,0.470,0.0016
5500.0,1.5,0.196,0.488,0.0010
5500.0,2.0,0.198,0.496,0.0012
5500.0,2.5,0.196,0.506,0.0021
5500.0,3.0,0.200,0.507,0.0029
5500.0,3.5,0.212,0.498,0.0034
5500.0,4.0,0.224,0.486,0.0034
5500.0,4.5,0.230,0.481,0.0034
5500.0,5.0,0.229,0.482,0.0035
5750.0,0.0,0.376,0.273,0.0037
5750.0,0.5,0.313,0.336,0.0048
5750.0,1.0,0.184,0.491,0.0012
5750.0,1.5,0.185,0.497,0.0009
